owner_signature_sha256,module_key,module_index,level,owner_rva,owner_runtime,function_end_rva_estimate,function_size_bytes_estimate,boundary_evidence,owner_assignment_status,full_normalized_sha256,wrapper_call_count,incoming_direct_calls,instruction_count,direct_call_count,fp_arithmetic_count,fp_compare_count,fp_memory_count,branch_count,backward_branch_count,return_site_count,exact_object_descriptors,object_ancestors_depth_le_3,symbolic_names,source_paths,same_function_patch_count,same_function_patch_layers,same_function_patch_mechanics,referenced_float32,embedded_float_high_halves,direct_internal_callees,direct_imports,family_id
0de1954f42fe210579d79a0be5f187d13dfc24a29256ecfea2cd306b3a6c1546,LEVEL_01,1,Pokitaru,0x0000E4F4,0x091481F4,0x0000E584,144,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,b15c21ba77af087041f54499d4f786ae964384dc62d8535ce630d7b882836992,3,7,36,3,0,0,12,0,0,1,,Butterfly@2; Level01Boat@2; PathAnimal@2; RatchetShipAnimation@2; TMRobotHeadB@2; ExplosiveBee@3,,,0,,,,,0x0000E35C,,WF-005
79a53dd581d4d0841d3dba3fd01f10e49941c5aef283405a13b839bf117a9831,LEVEL_01,1,Pokitaru,0x0000E768,0x09148468,0x0000E864,252,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,c433fb62553f43aa247249c01d88a1e4be80155cfc662ad06fe48aeb43c27d78,2,17,63,3,12,1,21,2,0,1,,Crab@1; TMRobotHeadB@1; TMRobotTorsoB@1; LunaCutscene@2; LunaNPC@2; TMRobotTorsoCutscene@2; TrainingBot@2,,,0,,,,2.38e-07; 1,0x0000E35C; 0x001A5F00,,WF-013
80d909ccea185b2b92de4eaeda906b378de28efe8a0015d6d7c6ef3382388145,LEVEL_01,1,Pokitaru,0x00010B44,0x0914A844,0x00010E78,820,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,010d5801cca080c4a5c039647d3f406a79ee8cecc1764cdcbfca9c50d52fd1f7,1,3,205,4,58,4,61,7,0,1,,RatchetShipAnimation@2,,,0,,,0@0x002CA378,2.38e-07; 9.9659e-05; 1,0x0000E35C; 0x0000E4F4; 0x0000F354; 0x000F49F8,,WF-015
04dfbfd0e8658f0836f0e5363b70ea615481b1beeaceecab7571875f452a1101,LEVEL_01,1,Pokitaru,0x00028E9C,0x09162B9C,0x00028FFC,352,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,0f8c862140d79a4a7fef2461086ce14efeed3a144923beadddf29e62ef6960ba,3,2,88,4,17,4,23,6,0,1,,TMRobotHeadB@2; TMRobotTorsoB@2; TrainingBot@2; Crab@3,,,0,,,0.0333333351@0x002AFED4; 0.150000006@0x002AFECC; 1@0x002AFED0,,0x0000E35C; 0x001B59E4,,WF-014
35d0f36a26b74dad46db02b1ada278665ea20e7bd849ac85d72c8646adb2672f,LEVEL_01,1,Pokitaru,0x000295B4,0x091632B4,0x0002962C,120,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,67c60a2e3ff30459eca539ebe18d3388c8927545059fb8060562c143708d3c59,1,2,30,2,0,0,5,0,0,1,,Crab@2,,,0,,,,,0x0000E35C; 0x0002962C,,WF-021
99ba6f21bd2768eaf20675803240b2d25011eaf50751c8660e6d6c0e7df0b24e,LEVEL_01,1,Pokitaru,0x0002BE30,0x09165B30,0x0002C2F8,1224,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,350fe5cf581a42392a0e60a20cac15d02da2486e41c4f74400da1b5580420c00,3,2,306,14,54,8,93,20,0,1,,LunaNPC@1,,,0,,,0.0333333351@0x002AFF14; 1@0x002AFF18; 0.400000006@0x002AFF0C,9.954e-06; 1,0x0000E35C; 0x0000E768; 0x0000EB68; 0x0002B77C; 0x0002BACC; 0x001A5F00; 0x001B59E4; NavUtil_AvoidTriggers,,WF-017
24a2ff0a1557a72e167a4c96b6f9c801d44d4cba5af921ba5669a4084a8edf49,LEVEL_01,1,Pokitaru,0x0004A158,0x09183E58,0x0004A4F0,920,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,5f8e71e3b828c450c1290be991bf4e8f9861675cc18d71918c8541237a5d8da5,1,10,230,6,70,8,80,13,0,1,,,,,0,,,,2.38e-07; 9.9659e-05; 0.000999451; 0.016967773; 0.099609375; 0.298828125; 1; 1.5703125; 3.109375,0x0000E35C; 0x0000E3DC; 0x000F4264; 0x000F570C; 0x001A4E74,,WF-002
2f3e3c8d94815007925ad67e5ba4c86300ecf57cf262105869a43d99ee6ad1fb,LEVEL_01,1,Pokitaru,0x0004A4F0,0x091841F0,0x0004AECC,2524,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,2e613bd354caaddaedd25cfa26060bf36515a4d5489ddea1fee3b574a0bab353,3,1,631,52,96,14,122,53,2,1,,,,,0,,,0.100000001@0x002B0918; 1.5@0x002B091C; 0.0799999982@0x002B00E8; -0.00300000003@0x002B08E8,2.38e-07; 0.033203125; 0.125; 0.149414062; 0.19921875; 0.33203125; 0.3984375; 0.5; 0.6640625; 0.83203125; 1; 1.5,0x0000E35C; 0x00033010; 0x00036298; 0x000362E8; 0x0004215C; 0x00049018; 0x00049364; 0x00049490; 0x000498C4; 0x000499B4; 0x00049B50; 0x00049B90; 0x00049BF0; 0x0004A158; 0x0005BC58; 0x0005BDDC; 0x0005BE28; 0x0005C2B4; 0x0006A9E0; 0x0006AED0; 0x00076330; 0x001448D4; MOBY_SnapMobyAnim,,WF-001
a0c9f2348b17b34ae20cd986946e9986592765755ff8bc44e8d82a6df56c3b27,LEVEL_01,1,Pokitaru,0x0004E008,0x09187D08,0x0004F0BC,4276,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,48e46b3e9d50ce35b3533d2dc50861e1380ee0357bb998ea1783b05aa5bc21ac,1,1,1069,71,126,19,345,58,0,1,,,,,0,,,30.000597@0x002B0984; 0.200000003@0x002B0944; 0.400000006@0x002B0948; 0.800000012@0x002B094C; 0.100000001@0x002B0950; 0.200000003@0x002B0954; 0.400000006@0x002B0958; 0.0500000007@0x002B095C; 0@0x002B0A1C; 1@0x002B0978; 0@0x002B09D8; 0.800000012@0x002B0A04; 0.75@0x002B09DC,2.38e-07; 0.00994873; 0.015625; 0.25; 0.3984375; 0.5; -1; 1,0x0000E290; 0x0000E2F4; 0x0000E35C; 0x00030F80; 0x00033C0C; 0x00034AE0; 0x00034B0C; 0x00036298; 0x000362E8; 0x00036364; 0x00041B3C; 0x0004253C; 0x0004AECC; 0x0004B1E0; 0x0004C17C; 0x0004CAE8; 0x0004CD08; 0x0004CED8; 0x0004D0C4; 0x0006A9E0; 0x0006AA08; 0x000F667C; 0x00106588; 0x00106590; 0x001065B8; 0x001065C0; 0x0016305C; 0x001A4E74; MOBY_BlendMobyAnim; ht_grindlock_switches,,WF-003
a50a4422a2a0366826d4c2c0aae73049d3e6d44c93e876dda92de2c52118f000,LEVEL_01,1,Pokitaru,0x00056348,0x09190048,0x00056444,252,entrée JAL/prologue précédente → entrée forte suivante,confirmed_by_previous_corpus_heuristic,73382ebdcb0540f5efafe7f168a7aa6170ab0eaccb0f545a6a1caae7aa37d4bc,1,1,63,7,2,0,7,3,0,1,,,,,0,,,0.400000006@0x002B0D78; 0.300000012@0x002B0D7C; 0.100000001@0x002B0D80,1.5,0x0000E35C; 0x000340B8; 0x00049514; 0x00055E68; 0x000565F4; 0x00056A04; 0x000A5EC8,,WF-004
