module_index,module_key,level,family_id,callsite_runtime,delay_slot_runtime,mips_ra_runtime,wrapper_entry_runtime,expected_original_jal_word,replacement_formula,default_policy
1,LEVEL_01,Pokitaru,WF-005,0x09148228,0x0914822C,0x09148230,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-005,0x09148244,0x09148248,0x0914824C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-005,0x09148260,0x09148264,0x09148268,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-013,0x091484A4,0x091484A8,0x091484AC,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-013,0x091484C8,0x091484CC,0x091484D0,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-015,0x0914AAE0,0x0914AAE4,0x0914AAE8,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-014,0x09162C88,0x09162C8C,0x09162C90,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-014,0x09162CAC,0x09162CB0,0x09162CB4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-014,0x09162CD0,0x09162CD4,0x09162CD8,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-021,0x091632F0,0x091632F4,0x091632F8,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-017,0x09165C20,0x09165C24,0x09165C28,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-017,0x09165C44,0x09165C48,0x09165C4C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-017,0x09165C68,0x09165C6C,0x09165C70,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-002,0x091840B8,0x091840BC,0x091840C0,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-001,0x09184794,0x09184798,0x0918479C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-001,0x091847C8,0x091847CC,0x091847D0,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-001,0x09184944,0x09184948,0x0918494C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-003,0x091885E4,0x091885E8,0x091885EC,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-004,0x091900A8,0x091900AC,0x091900B0,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-008,0x09244D1C,0x09244D20,0x09244D24,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-008,0x09244D3C,0x09244D40,0x09244D44,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-009,0x09244F9C,0x09244FA0,0x09244FA4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-009,0x09244FBC,0x09244FC0,0x09244FC4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-007,0x092451EC,0x092451F0,0x092451F4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-007,0x0924526C,0x09245270,0x09245274,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-007,0x09245294,0x09245298,0x0924529C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-010,0x09247C78,0x09247C7C,0x09247C80,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-010,0x09247D38,0x09247D3C,0x09247D40,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-051,0x0925C844,0x0925C848,0x0925C84C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-031,0x09262A34,0x09262A38,0x09262A3C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-047,0x09268694,0x09268698,0x0926869C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-033,0x09268764,0x09268768,0x0926876C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-033,0x09268780,0x09268784,0x09268788,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-033,0x0926879C,0x092687A0,0x092687A4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-033,0x0926890C,0x09268910,0x09268914,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-033,0x09268930,0x09268934,0x09268938,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-033,0x0926894C,0x09268950,0x09268954,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-016,0x0927DFFC,0x0927E000,0x0927E004,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-016,0x0927E2A0,0x0927E2A4,0x0927E2A8,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-036,0x09288C28,0x09288C2C,0x09288C30,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-036,0x092892C4,0x092892C8,0x092892CC,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-036,0x09289668,0x0928966C,0x09289670,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-046,0x0928A5C8,0x0928A5CC,0x0928A5D0,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-006,0x092998C4,0x092998C8,0x092998CC,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-027,0x092A563C,0x092A5640,0x092A5644,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-027,0x092A5658,0x092A565C,0x092A5660,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-027,0x092A5940,0x092A5944,0x092A5948,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-027,0x092A5964,0x092A5968,0x092A596C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-027,0x092A5A30,0x092A5A34,0x092A5A38,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-030,0x092B79AC,0x092B79B0,0x092B79B4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-019,0x092C1424,0x092C1428,0x092C142C,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-019,0x092C16A4,0x092C16A8,0x092C16AC,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-012,0x092C9FAC,0x092C9FB0,0x092C9FB4,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-011,0x092CA698,0x092CA69C,0x092CA6A0,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
1,LEVEL_01,Pokitaru,WF-011,0x092CA6B4,0x092CA6B8,0x092CA6BC,0x0914805C,0x0E452017,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-005,0x0914828C,0x09148290,0x09148294,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-005,0x091482A8,0x091482AC,0x091482B0,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-005,0x091482C4,0x091482C8,0x091482CC,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-013,0x09148508,0x0914850C,0x09148510,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-013,0x0914852C,0x09148530,0x09148534,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-020,0x091486A8,0x091486AC,0x091486B0,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-020,0x091486C8,0x091486CC,0x091486D0,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-015,0x0914B07C,0x0914B080,0x0914B084,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-014,0x09163028,0x0916302C,0x09163030,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-014,0x0916304C,0x09163050,0x09163054,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-014,0x09163070,0x09163074,0x09163078,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-021,0x0916358C,0x09163590,0x09163594,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-017,0x09165F1C,0x09165F20,0x09165F24,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-017,0x09165F40,0x09165F44,0x09165F48,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
2,LEVEL_02,Ryllus,WF-017,0x09165F64,0x09165F68,0x09165F6C,0x09148040,0x0E452010,0x0C000000 | ((profiler_hook >> 2) & 0x03FFFFFF),VANILLA
