module_key,module_index,level,owner_rva,callsite_rva,callsite_runtime,target_kind,target_rva,target_runtime,target_owner_rva,target_label,family_id
LEVEL_01,1,Pokitaru,0x0000E4F4,0x0000E528,0x09148228,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-005
LEVEL_01,1,Pokitaru,0x0000E4F4,0x0000E544,0x09148244,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-005
LEVEL_01,1,Pokitaru,0x0000E4F4,0x0000E560,0x09148260,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-005
LEVEL_01,1,Pokitaru,0x0000E768,0x0000E7A4,0x091484A4,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-013
LEVEL_01,1,Pokitaru,0x0000E768,0x0000E7C8,0x091484C8,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-013
LEVEL_01,1,Pokitaru,0x0000E768,0x0000E804,0x09148504,internal_text,0x001A5F00,0x092DFC00,0x001A5F00,0x001A5F00,WF-013
LEVEL_01,1,Pokitaru,0x00010B44,0x00010C3C,0x0914A93C,internal_text,0x0000F354,0x09149054,0x0000F354,0x0000F354,WF-015
LEVEL_01,1,Pokitaru,0x00010B44,0x00010C74,0x0914A974,internal_text,0x0000E4F4,0x091481F4,0x0000E4F4,0x0000E4F4,WF-015
LEVEL_01,1,Pokitaru,0x00010B44,0x00010DE0,0x0914AAE0,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-015
LEVEL_01,1,Pokitaru,0x00010B44,0x00010DF4,0x0914AAF4,internal_text,0x000F49F8,0x0922E6F8,0x000F49F8,0x000F49F8,WF-015
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028F50,0x09162C50,internal_text,0x001B59E4,0x092EF6E4,0x001B59E4,0x001B59E4,WF-014
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028F88,0x09162C88,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-014
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028FAC,0x09162CAC,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-014
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028FD0,0x09162CD0,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-014
LEVEL_01,1,Pokitaru,0x000295B4,0x000295F0,0x091632F0,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-021
LEVEL_01,1,Pokitaru,0x000295B4,0x00029608,0x09163308,internal_text,0x0002962C,0x0916332C,0x0002962C,0x0002962C,WF-021
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BEE0,0x09165BE0,internal_text,0x001B59E4,0x092EF6E4,0x001B59E4,0x001B59E4,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BF20,0x09165C20,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BF44,0x09165C44,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BF68,0x09165C68,internal_text,0x0000E35C,0x0914805C,0x0000E35C,0x0000E35C,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BFC8,0x09165CC8,internal_text,0x001A5F00,0x092DFC00,0x001A5F00,0x001A5F00,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BFDC,0x09165CDC,internal_text,0x001A5F00,0x092DFC00,0x001A5F00,0x001A5F00,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002C0A0,0x09165DA0,internal_text,0x0002B77C,0x0916547C,0x0002B77C,0x0002B77C,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002C140,0x09165E40,internal_text,0x0002B77C,0x0916547C,0x0002B77C,0x0002B77C,WF-017
