module_index,module_key,level,two_pass_entry_runtime,one_pass_inner_runtime,internal_call_suppression_site_runtime,entry_to_patch_delta,inner_to_patch_delta,direct_caller_count,entry_word_0,entry_word_1,entry_word_2,entry_word_3,original_word_at_suppression_site
1,LEVEL_01,Pokitaru,0x0914805C,0x09147F90,0x09148094,0x38,0x104,55,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0038A4
2,LEVEL_02,Ryllus,0x09148040,0x09147F74,0x09148078,0x38,0x104,57,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C00389D
3,LEVEL_03,Kalidon,0x09148080,0x09147FB4,0x091480B8,0x38,0x104,33,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0038AD
4,LEVEL_04,Metalis,0x09147E54,0x09147D88,0x09147E8C,0x38,0x104,36,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C003822
5,LEVEL_05,Dreamtime,0x0914805C,0x09147F90,0x09148094,0x38,0x104,40,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0038A4
6,LEVEL_06,Medical Outpost Omega,0x09147EC4,0x09147DF8,0x09147EFC,0x38,0x104,33,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C00383E
7,LEVEL_07,Challax,0x0914805C,0x09147F90,0x09148094,0x38,0x104,46,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0038A4
8,LEVEL_08,Dayni Moon,0x091480B8,0x09147FEC,0x091480F0,0x38,0x104,57,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0038BB
9,LEVEL_09,Inside Clank,0x0914805C,0x09147F90,0x09148094,0x38,0x104,31,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0038A4
10,LEVEL_10,Quadrona,0x09147DD8,0x09147D0C,0x09147E10,0x38,0x104,35,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C003803
15,LEVEL_15,Giant Clank — niveau 4,0x091475E8,0x0914751C,0x09147620,0x38,0x104,6,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C003607
21,LEVEL_21,Giant Clank — niveau 7,0x091475E8,0x0914751C,0x09147620,0x38,0x104,6,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C003607
22,LEVEL_22,Airboard — niveau 3,0x09147890,0x091477C4,0x091478C8,0x38,0x104,11,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C0036B1
23,LEVEL_23,Airboard — niveau 6,0x09147ED4,0x09147E08,0x09147F0C,0x38,0x104,24,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C003842
24,LEVEL_24,HIG Treehouse,0x09147B74,0x09147AA8,0x09147BAC,0x38,0x104,23,0x27BDFFC0,0xE7B40020,0xE7B60024,0xE7B80028,0x0C00376A
