"essai","date","journal","groupe","libelle","adresse_hex","adresse_dec","rva_hex","avant_u32","apres_u32","avant_float","apres_float","verifie","statut"
"WF-029 ONE_PASS","14/09/2026 22:02:46","wf029-apply-result.json","politique","callsite JAL ONE_PASS","0x0917764C","152532556","","237333973","237333980","2,0390702E-30","2,0390716E-30","True","annule le meme jour (retour TWO_PASS)"
"WF-029 ONE_PASS","14/09/2026 22:02:46","wf029-apply-result.json","politique","octet politique table","0x08968D00","144084224","","1","2","1E-45","3E-45","True","annule le meme jour (retour TWO_PASS)"
"WF-029 ONE_PASS","14/09/2026 22:10:56","wf029-rollback-result.json","politique","callsite JAL retour TWO_PASS","0x0917764C","152532556","","237333980","237333973","2,0390716E-30","2,0390702E-30","True","rollback confirme"
"WF-029 ONE_PASS","14/09/2026 22:10:56","wf029-rollback-result.json","politique","octet politique table retour","0x08968D00","144084224","","2","1","3E-45","1E-45","True","rollback confirme"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","forward cap","0x09438B98","155421592","","1045220558","1036831950","0,20000002","0,10000001","True","perdu a la fermeture de PPSSPP"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","reverse cap","0x09438B9C","155421596","","1032358025","1023969417","0,06666667","0,033333335","True","perdu a la fermeture de PPSSPP"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","forward acceleration","0x09438BA4","155421604","","1001786210","985008994","0,005555556","0,001388889","True","perdu a la fermeture de PPSSPP"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","reverse acceleration","0x09438BA8","155421608","","993397602","976620386","0,002777778","0,0006944445","True","perdu a la fermeture de PPSSPP"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","braking","0x09438BAC","155421612","","1010174818","993397602","0,011111112","0,002777778","True","perdu a la fermeture de PPSSPP"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","coasting deceleration","0x09438BB0","155421616","","1001786210","985008994","0,005555556","0,001388889","True","perdu a la fermeture de PPSSPP"
