"module_index","module_key","offset_hex","offset_dec","original_hex","patched_hex","flags","flags_noms","layer","layer_nom","ecrit_statiquement"
"1","LEVEL_01","0x361C","13852","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
"1","LEVEL_01","0x3634","13876","0x3C04BD08","0x3C04BC88","16","CODE","1","socle","oui"
"1","LEVEL_01","0x151E0","86496","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
"1","LEVEL_01","0x2832C","164652","0x27BDFFC0","0x00000007","20","CODE+CAVE_JUMP","4","cassables/boulons","oui"
"1","LEVEL_01","0x28330","164656","0xAFB00028","0x00000000","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x283C4","164804","0x46107380","0x00000000","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x2EC54","191572","0x46166300","0x461C6300","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x2EC74","191604","0x46166301","0x461C6301","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x2EE0C","192012","0x46166300","0x461C6300","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x2FBBC","195516","0x46006506","0x460C6500","16","CODE","1","socle","oui"
"1","LEVEL_01","0x2FCFC","195836","0x2A240002","0x2A240001","16","CODE","1","socle","oui"
"1","LEVEL_01","0x4F490","324752","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"1","LEVEL_01","0x4F6FC","325372","0x3C05BF80","0x3C05BF00","16","CODE","8","particules","oui"
"1","LEVEL_01","0x4FACC","326348","0x3C05BF80","0x3C05BF00","16","CODE","8","particules","oui"
"1","LEVEL_01","0x10768C","1078924","0x460F6300","0x00000000","20","CODE+CAVE_JUMP","2","armes","oui"
"1","LEVEL_01","0x107690","1078928","0xE60C0030","0x00000000","16","CODE","2","armes","oui"
"1","LEVEL_01","0x1099E0","1087968","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x1099FC","1087996","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x10E408","1106952","0x3C073F80","0x3C073F00","16","CODE","8","particules","oui"
"1","LEVEL_01","0x10FDE8","1113576","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x110050","1114192","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x1107D4","1116116","0x3C05BF80","0x3C05BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x110A48","1116744","0x460D6300","0x00000001","20","CODE+CAVE_JUMP","2","armes","oui"
"1","LEVEL_01","0x110A4C","1116748","0xE62C0004","0x00000000","16","CODE","2","armes","oui"
"1","LEVEL_01","0x111CA4","1121444","0x3C063D08","0x3C063C88","16","CODE","2","armes","oui"
"1","LEVEL_01","0x115124","1134884","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x115224","1135140","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x117B70","1145712","0x3C0641F0","0x3C064270","16","CODE","2","armes","oui"
"1","LEVEL_01","0x118144","1147204","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x11C1F0","1163760","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x11ED84","1174916","0x3C053F80","0x3C053F00","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x11F5DC","1177052","0x24040002","0x24040004","16","CODE","4","cassables/boulons","oui"
"1","LEVEL_01","0x12CE80","1232512","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x12D6A0","1234592","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x12D714","1234708","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x12E208","1237512","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"1","LEVEL_01","0x13B960","1292640","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
