module,level,rva,file_offset,original,proposed,source_module,source_rva,mechanic,proof,signature_sha256,window_start,window_bytes,status,validation,nearest_callback_NOT_proven_owner,callback_distance_bytes
1,Pokitaru,0x00064FA0,0x00065014,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x00064F40,196,new_static_candidate,not tested in-game at target,,0
2,Ryllus,0x0006AE8C,0x0006AF00,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x0006AE2C,196,new_static_candidate,not tested in-game at target,,0
3,Kalidon,0x00064B44,0x00064BB8,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x00064AE4,196,new_static_candidate,not tested in-game at target,,0
7,Challax,0x00066998,0x00066A0C,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x00066938,196,new_static_candidate,not tested in-game at target,,0
8,Dayni Moon,0x0006BA70,0x0006BAE4,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x0006BA10,196,new_static_candidate,not tested in-game at target,,0
9,Inside Clank,0x00061C90,0x00061D04,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x00061C30,196,new_static_candidate,not tested in-game at target,,0
10,Quodrona,0x00065328,0x0006539C,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x000652C8,196,new_static_candidate,not tested in-game at target,,0
24,HIG Treehouse,0x0005F094,0x0005F108,0x3C063D08,0x3C063C88,4,0x00067060,Teleport emitter elapsed seconds,unique 49-word window; only PRX relocation operands normalized,ce5b3ad28b8a50b65e575d5ae88043fb83c0887bb31d4eb167d936e1666c2545,0x0005F034,196,new_static_candidate,not tested in-game at target,,0
8,Dayni Moon,0x00133CF4,0x00133D68,0x3C05BF80,0x3C05BF00,4,0x0012CF9C,ClankSaw two float countdowns,unique 49-word window; only PRX relocation operands normalized,6325c37945fc67404477084025e40eaaf7d40f96a5c4cd7e1dd4e5b95c5126fc,0x00133C94,196,new_static_candidate,not tested in-game at target,ClankSawTorso,8
8,Dayni Moon,0x0013ED98,0x0013EE0C,0x3C05BF80,0x3C05BF00,4,0x001340A4,Nanotech fade timer -1 -> -0.5,unique 49-word window; only PRX relocation operands normalized,fed363189d48fad707f0760d9fa5591b9bb0c1a681cd14060618fde7b5ac8e82,0x0013ED38,196,new_static_candidate,not tested in-game at target,DerbyPowerupHealth,308
