module,level,objects,callbacks,function_candidates,candidate_sites,candidate_functions,outside_wrapper_family,integer_unit_read_modify_write,float_read_modify_write,float_multiplicative_read_modify_write,float_fixed_step_read_modify_write,float_constant_arithmetic_store
1,Pokitaru,155,479,6013,2897,876,2798,456,1110,863,226,242
2,Ryllus,180,560,6351,2960,934,2850,473,1149,835,270,233
3,Kalidon,167,518,6212,3055,931,2987,446,1170,919,260,260
4,Metalis,171,535,6353,2931,947,2883,450,1137,824,275,245
5,Dreamtime,134,412,5656,2744,825,2673,409,1020,820,255,240
6,Medical Outpost Omega,137,423,5794,2598,810,2545,411,944,769,236,238
7,Challax,168,522,6036,2932,878,2818,421,1136,847,282,246
8,Dayni Moon,217,686,6993,3235,1044,3157,483,1262,908,315,267
9,Inside Clank,141,431,5699,2608,809,2555,400,978,742,250,238
10,Quodrona,164,512,6247,2792,888,2733,418,1075,756,291,252
15,Giant Clank — niveau 4,10,30,4495,1471,529,1462,306,511,340,142,172
21,Giant Clank — niveau 7,10,30,4495,1471,529,1462,306,511,340,142,172
22,Airboard — niveau 3,46,137,4349,1670,537,1650,319,554,437,169,191
23,Airboard — niveau 6,104,319,5289,2454,749,2409,384,869,750,230,221
24,High Impact Treehouse,123,377,5470,2401,742,2359,382,860,723,222,214
