module,level,candidate_kind,function_rva,arithmetic_rva,arithmetic_file_offset,vanilla_word,operation,memory_load_rva,memory_base,memory_origin_heuristic,field_offset,store_rva,store_vanilla_word,fixed_delta_per_call,direct_objects,objects_within_3_calls,known_wrapper_family,source_strings,evidence_confidence,branches_or_calls_in_linear_slice,status,runtime_address_rule,context,constant_value,constant_bits,constant_rva,constant_definition_rvas,constant_definition_words,static_proposal
1,Pokitaru,float_fixed_step_read_modify_write,0x00007C64,0x00007E3C,0x00007EB0,0x46187381,sub.s,0x00007E38,s0,s0,+0xdc,0x00007E4C,0xE60E00DC,-1,,,,,linear_slice_only,11,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00007E30 0x4500001D bc1f 0x7ea8 | 0x00007E34 0xE60F00D4 swc1 $f15, 0xd4($s0) | 0x00007E38 0xC60E00DC lwc1 $f14, 0xdc($s0) | 0x00007E3C 0x46187381 sub.s $f14, $f14, $f24 | 0x00007E40 0x461A703E c.le.s $f14, $f26 | 0x00007E44 0x00000000 nop  | 0x00007E48 0x4500001B bc1f 0x7eb8 | 0x00007E4C 0xE60E00DC swc1 $f14, 0xdc($s0) | 0x00007E50 0x460C6B41 sub.s $f13, $f13, $f12 | 0x00007E54 0x3C05002B lui $a1, 0x2b | 0x00007E58 0xC4AEA438 lwc1 $f14, -0x5bc8($a1) | 0x00007E5C 0xC60F00D8 lwc1 $f15, 0xd8($s0)",1,0x3F800000,,0x00007CE8;0x00007CF8,0x3C043F80;0x4484C000,CANDIDATE ONLY: 0x00007CE8 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0000D9C8,0x0000DB4C,0x0000DBC0,0x460D6301,sub.s,0x0000DB3C,s0,a0(entry),+0x0,0x0000DB5C,0xE60C0000,-1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000DB34 0x1693FFF7 bne $s4, $s3, 0xdb14 | 0x0000DB38 0x02449021 addu $s2, $s2, $a0 | 0x0000DB3C 0xC60C0000 lwc1 $f12, ($s0) | 0x0000DB40 0x3C043F80 lui $a0, 0x3f80 | 0x0000DB44 0x44846800 mtc1 $a0, $f13 | 0x0000DB48 0xC60E0004 lwc1 $f14, 4($s0) | 0x0000DB4C 0x460D6301 sub.s $f12, $f12, $f13 | 0x0000DB50 0xC60F0008 lwc1 $f15, 8($s0) | 0x0000DB54 0x460D7381 sub.s $f14, $f14, $f13 | 0x0000DB58 0x460D7BC1 sub.s $f15, $f15, $f13 | 0x0000DB5C 0xE60C0000 swc1 $f12, ($s0) | 0x0000DB60 0xE60E0004 swc1 $f14, 4($s0) | 0x0000DB64 0xE60F0008 swc1 $f15, 8($s0) | 0x0000DB68 0xC62C0000 lwc1 $f12, ($s1) | 0x0000DB6C 0xC62E0004 lwc1 $f14, 4($s1)",1,0x3F800000,,0x0000DB40;0x0000DB44,0x3C043F80;0x44846800,CANDIDATE ONLY: 0x0000DB40 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0000D9C8,0x0000DB54,0x0000DBC8,0x460D7381,sub.s,0x0000DB48,s0,a0(entry),+0x4,0x0000DB60,0xE60E0004,-1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000DB40 0x3C043F80 lui $a0, 0x3f80 | 0x0000DB44 0x44846800 mtc1 $a0, $f13 | 0x0000DB48 0xC60E0004 lwc1 $f14, 4($s0) | 0x0000DB4C 0x460D6301 sub.s $f12, $f12, $f13 | 0x0000DB50 0xC60F0008 lwc1 $f15, 8($s0) | 0x0000DB54 0x460D7381 sub.s $f14, $f14, $f13 | 0x0000DB58 0x460D7BC1 sub.s $f15, $f15, $f13 | 0x0000DB5C 0xE60C0000 swc1 $f12, ($s0) | 0x0000DB60 0xE60E0004 swc1 $f14, 4($s0) | 0x0000DB64 0xE60F0008 swc1 $f15, 8($s0) | 0x0000DB68 0xC62C0000 lwc1 $f12, ($s1) | 0x0000DB6C 0xC62E0004 lwc1 $f14, 4($s1) | 0x0000DB70 0x460D6300 add.s $f12, $f12, $f13 | 0x0000DB74 0xC62F0008 lwc1 $f15, 8($s1)",1,0x3F800000,,0x0000DB40;0x0000DB44,0x3C043F80;0x44846800,CANDIDATE ONLY: 0x0000DB40 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0000D9C8,0x0000DB58,0x0000DBCC,0x460D7BC1,sub.s,0x0000DB50,s0,a0(entry),+0x8,0x0000DB64,0xE60F0008,-1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000DB48 0xC60E0004 lwc1 $f14, 4($s0) | 0x0000DB4C 0x460D6301 sub.s $f12, $f12, $f13 | 0x0000DB50 0xC60F0008 lwc1 $f15, 8($s0) | 0x0000DB54 0x460D7381 sub.s $f14, $f14, $f13 | 0x0000DB58 0x460D7BC1 sub.s $f15, $f15, $f13 | 0x0000DB5C 0xE60C0000 swc1 $f12, ($s0) | 0x0000DB60 0xE60E0004 swc1 $f14, 4($s0) | 0x0000DB64 0xE60F0008 swc1 $f15, 8($s0) | 0x0000DB68 0xC62C0000 lwc1 $f12, ($s1) | 0x0000DB6C 0xC62E0004 lwc1 $f14, 4($s1) | 0x0000DB70 0x460D6300 add.s $f12, $f12, $f13 | 0x0000DB74 0xC62F0008 lwc1 $f15, 8($s1) | 0x0000DB78 0x460D7380 add.s $f14, $f14, $f13",1,0x3F800000,,0x0000DB40;0x0000DB44,0x3C043F80;0x44846800,CANDIDATE ONLY: 0x0000DB40 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0000D9C8,0x0000DB70,0x0000DBE4,0x460D6300,add.s,0x0000DB68,s1,a1(entry),+0x0,0x0000DB7C,0xE62C0000,1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000DB60 0xE60E0004 swc1 $f14, 4($s0) | 0x0000DB64 0xE60F0008 swc1 $f15, 8($s0) | 0x0000DB68 0xC62C0000 lwc1 $f12, ($s1) | 0x0000DB6C 0xC62E0004 lwc1 $f14, 4($s1) | 0x0000DB70 0x460D6300 add.s $f12, $f12, $f13 | 0x0000DB74 0xC62F0008 lwc1 $f15, 8($s1) | 0x0000DB78 0x460D7380 add.s $f14, $f14, $f13 | 0x0000DB7C 0xE62C0000 swc1 $f12, ($s1) | 0x0000DB80 0x460D7B40 add.s $f13, $f15, $f13 | 0x0000DB84 0xE62E0004 swc1 $f14, 4($s1) | 0x0000DB88 0xE62D0008 swc1 $f13, 8($s1) | 0x0000DB8C 0x8FB00010 lw $s0, 0x10($sp) | 0x0000DB90 0x8FB10014 lw $s1, 0x14($sp)",1,0x3F800000,,0x0000DB40;0x0000DB44,0x3C043F80;0x44846800,CANDIDATE ONLY: 0x0000DB40 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0000D9C8,0x0000DB78,0x0000DBEC,0x460D7380,add.s,0x0000DB6C,s1,a1(entry),+0x4,0x0000DB84,0xE62E0004,1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000DB64 0xE60F0008 swc1 $f15, 8($s0) | 0x0000DB68 0xC62C0000 lwc1 $f12, ($s1) | 0x0000DB6C 0xC62E0004 lwc1 $f14, 4($s1) | 0x0000DB70 0x460D6300 add.s $f12, $f12, $f13 | 0x0000DB74 0xC62F0008 lwc1 $f15, 8($s1) | 0x0000DB78 0x460D7380 add.s $f14, $f14, $f13 | 0x0000DB7C 0xE62C0000 swc1 $f12, ($s1) | 0x0000DB80 0x460D7B40 add.s $f13, $f15, $f13 | 0x0000DB84 0xE62E0004 swc1 $f14, 4($s1) | 0x0000DB88 0xE62D0008 swc1 $f13, 8($s1) | 0x0000DB8C 0x8FB00010 lw $s0, 0x10($sp) | 0x0000DB90 0x8FB10014 lw $s1, 0x14($sp) | 0x0000DB94 0x8FB20018 lw $s2, 0x18($sp) | 0x0000DB98 0x8FB3001C lw $s3, 0x1c($sp)",1,0x3F800000,,0x0000DB40;0x0000DB44,0x3C043F80;0x44846800,CANDIDATE ONLY: 0x0000DB40 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0000D9C8,0x0000DB80,0x0000DBF4,0x460D7B40,add.s,0x0000DB74,s1,a1(entry),+0x8,0x0000DB88,0xE62D0008,1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000DB6C 0xC62E0004 lwc1 $f14, 4($s1) | 0x0000DB70 0x460D6300 add.s $f12, $f12, $f13 | 0x0000DB74 0xC62F0008 lwc1 $f15, 8($s1) | 0x0000DB78 0x460D7380 add.s $f14, $f14, $f13 | 0x0000DB7C 0xE62C0000 swc1 $f12, ($s1) | 0x0000DB80 0x460D7B40 add.s $f13, $f15, $f13 | 0x0000DB84 0xE62E0004 swc1 $f14, 4($s1) | 0x0000DB88 0xE62D0008 swc1 $f13, 8($s1) | 0x0000DB8C 0x8FB00010 lw $s0, 0x10($sp) | 0x0000DB90 0x8FB10014 lw $s1, 0x14($sp) | 0x0000DB94 0x8FB20018 lw $s2, 0x18($sp) | 0x0000DB98 0x8FB3001C lw $s3, 0x1c($sp) | 0x0000DB9C 0x8FB40020 lw $s4, 0x20($sp) | 0x0000DBA0 0x8FBF0024 lw $ra, 0x24($sp)",1,0x3F800000,,0x0000DB40;0x0000DB44,0x3C043F80;0x44846800,CANDIDATE ONLY: 0x0000DB40 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x000271BC,0x00027348,0x000273BC,0x46006300,add.s,0x00027340,v1,v1,+0x0,0x00027358,0xE46C0000,1,,,,,linear_slice_only,2,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00027338 0x01AC6023 subu $t4, $t5, $t4 | 0x0002733C 0x006C6021 addu $t4, $v1, $t4 | 0x00027340 0xC46C0000 lwc1 $f12, ($v1) | 0x00027344 0xC46E0008 lwc1 $f14, 8($v1) | 0x00027348 0x46006300 add.s $f12, $f12, $f0 | 0x0002734C 0x460E603C c.lt.s $f12, $f14 | 0x00027350 0x00000000 nop  | 0x00027354 0x45010027 bc1t 0x273f4 | 0x00027358 0xE46C0000 swc1 $f12, ($v1) | 0x0002735C 0x258CFFC8 addiu $t4, $t4, -0x38 | 0x00027360 0xC58C0000 lwc1 $f12, ($t4) | 0x00027364 0xC58D0004 lwc1 $f13, 4($t4) | 0x00027368 0x8D8E000C lw $t6, 0xc($t4)",1,0x3F800000,,0x000272B8;0x000272BC,0x3C033F80;0x44830000,CANDIDATE ONLY: 0x000272B8 0x3C033F80 -> 0x3C033F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x0002832C,0x0002834C,0x000283C0,0x460C7381,sub.s,0x00028340,s0,a0(entry),+0x24,0x00028354,0xE60E0024,-1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00028338 0xE7B40020 swc1 $f20, 0x20($sp) | 0x0002833C 0x46006506 mov.s $f20, $f12 | 0x00028340 0xC60E0024 lwc1 $f14, 0x24($s0) | 0x00028344 0x3C043F80 lui $a0, 0x3f80 | 0x00028348 0x44846000 mtc1 $a0, $f12 | 0x0002834C 0x460C7381 sub.s $f14, $f14, $f12 | 0x00028350 0xC60F0004 lwc1 $f15, 4($s0) | 0x00028354 0xE60E0024 swc1 $f14, 0x24($s0) | 0x00028358 0xC4CE0000 lwc1 $f14, ($a2) | 0x0002835C 0x460F7380 add.s $f14, $f14, $f15 | 0x00028360 0xC4D10004 lwc1 $f17, 4($a2) | 0x00028364 0xE4CE0000 swc1 $f14, ($a2) | 0x00028368 0xC60E0008 lwc1 $f14, 8($s0) | 0x0002836C 0x3C043F00 lui $a0, 0x3f00",1,0x3F800000,,0x00028344;0x00028348,0x3C043F80;0x44846000,CANDIDATE ONLY: 0x00028344 0x3C043F80 -> 0x3C043F00; audit all uses and tick ownership
1,Pokitaru,float_fixed_step_read_modify_write,0x000285C0,0x000285D8,0x0002864C,0x460C6B01,sub.s,0x000285D0,a0,a0(entry),+0x18,0x00028614,0xE48C0018,-1,,,,,linear_slice_only,2,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000285C8 0xC48E0000 lwc1 $f14, ($a0) | 0x000285CC 0x3C073F80 lui $a3, 0x3f80 | 0x000285D0 0xC48D0018 lwc1 $f13, 0x18($a0) | 0x000285D4 0x44876000 mtc1 $a3, $f12 | 0x000285D8 0x460C6B01 sub.s $f12, $f13, $f12 | 0x000285DC 0x4611603E c.le.s $f12, $f17 | 0x000285E0 0x00000000 nop  | 0x000285E4 0x4501000C bc1t 0x28618 | 0x000285E8 0xC4CD0000 lwc1 $f13, ($a2) | 0x000285EC 0x3C063F00 lui $a2, 0x3f00 | 0x000285F0 0x460E7BC0 add.s $f15, $f15, $f14 | 0x000285F4 0x44868000 mtc1 $a2, $f16 | 0x000285F8 0x46106C02 mul.s $f16, $f13, $f16",1,0x3F800000,,0x000285CC;0x000285D4,0x3C073F80;0x44876000,CANDIDATE ONLY: 0x000285CC 0x3C073F80 -> 0x3C073F00; audit all uses and tick ownership
