module,level,candidate_kind,function_rva,arithmetic_rva,arithmetic_file_offset,vanilla_word,operation,memory_load_rva,memory_base,memory_origin_heuristic,field_offset,store_rva,store_vanilla_word,fixed_delta_per_call,direct_objects,objects_within_3_calls,known_wrapper_family,source_strings,evidence_confidence,branches_or_calls_in_linear_slice,status,runtime_address_rule,context,static_proposal
1,Pokitaru,integer_unit_read_modify_write,0x00000CFC,0x00000D18,0x00000D8C,0x25290001,addiu,0x00000D14,t0,t0,+0x20,0x00000D24,0xAD090020,1,,ArmorPickup; RatchetShipAnimation; TitaniumBolt,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00000D0C 0x24E70290 addiu $a3, $a3, 0x290 | 0x00000D10 0x00874021 addu $t0, $a0, $a3 | 0x00000D14 0x8D090020 lw $t1, 0x20($t0) | 0x00000D18 0x25290001 addiu $t1, $t1, 1 | 0x00000D1C 0x000950C0 sll $t2, $t1, 3 | 0x00000D20 0x008A2021 addu $a0, $a0, $t2 | 0x00000D24 0xAD090020 sw $t1, 0x20($t0) | 0x00000D28 0x00872021 addu $a0, $a0, $a3 | 0x00000D2C 0xAC850000 sw $a1, ($a0) | 0x00000D30 0x03E00008 jr $ra | 0x00000D34 0xAC860004 sw $a2, 4($a0)","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x00000D38,0x00000D54,0x00000DC8,0x24A5FFFF,addiu,0x00000D50,a0,a0,+0x20,0x00000D5C,0xAC850020,-1,,ArmorPickup; TitaniumBolt,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00000D48 0x24A50290 addiu $a1, $a1, 0x290 | 0x00000D4C 0x00852021 addu $a0, $a0, $a1 | 0x00000D50 0x8C850020 lw $a1, 0x20($a0) | 0x00000D54 0x24A5FFFF addiu $a1, $a1, -1 | 0x00000D58 0x03E00008 jr $ra | 0x00000D5C 0xAC850020 sw $a1, 0x20($a0)","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x0000A134,0x0000A360,0x0000A3D4,0x24A5FFFF,addiu,0x0000A358,s0,a1(entry),+0xb4,0x0000A368,0xAE0500B4,-1,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000A350 0x100001AA b 0xa9fc | 0x0000A354 0x8FA202FC lw $v0, 0x2fc($sp) | 0x0000A358 0x8E0500B4 lw $a1, 0xb4($s0) | 0x0000A35C 0x460CA501 sub.s $f20, $f20, $f12 | 0x0000A360 0x24A5FFFF addiu $a1, $a1, -1 | 0x0000A364 0x14A00033 bnez $a1, 0xa434 | 0x0000A368 0xAE0500B4 sw $a1, 0xb4($s0) | 0x0000A36C 0x8FA502FC lw $a1, 0x2fc($sp) | 0x0000A370 0x8FA60318 lw $a2, 0x318($sp) | 0x0000A374 0x24A50001 addiu $a1, $a1, 1 | 0x0000A378 0x14C500B1 bne $a2, $a1, 0xa640 | 0x0000A37C 0xAFA502FC sw $a1, 0x2fc($sp) | 0x0000A380 0xC7AC0314 lwc1 $f12, 0x314($sp)","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x0000F574,0x0000F700,0x0000F774,0x25690001,addiu,0x0000F6FC,a2,a2(entry),+0x0,0x0000F704,0xA0C90000,1,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000F6F4 0xE48E0008 swc1 $f14, 8($a0) | 0x0000F6F8 0x10E0000B beqz $a3, 0xf728 | 0x0000F6FC 0x90CB0000 lbu $t3, ($a2) | 0x0000F700 0x25690001 addiu $t1, $t3, 1 | 0x0000F704 0xA0C90000 sb $t1, ($a2) | 0x0000F708 0x90CB0000 lbu $t3, ($a2) | 0x0000F70C 0x94A90014 lhu $t1, 0x14($a1) | 0x0000F710 0x0169482A slt $t1, $t3, $t1 | 0x0000F714 0x1520000E bnez $t1, 0xf750 | 0x0000F718 0x00000000 nop  | 0x0000F71C 0xA0C00000 sb $zero, ($a2) | 0x0000F720 0x1000000B b 0xf750","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x00011024,0x00011104,0x00011178,0x2484FFFF,addiu,0x00011100,s1,a1(entry),+0x0,0x00011108,0xAE240000,-1,,Level01Boat,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000110F8 0x12200004 beqz $s1, 0x1110c | 0x000110FC 0x00000000 nop  | 0x00011100 0x8E240000 lw $a0, ($s1) | 0x00011104 0x2484FFFF addiu $a0, $a0, -1 | 0x00011108 0xAE240000 sw $a0, ($s1) | 0x0001110C 0x00001025 move $v0, $zero | 0x00011110 0xC7B40010 lwc1 $f20, 0x10($sp) | 0x00011114 0x8FB00014 lw $s0, 0x14($sp) | 0x00011118 0x8FB10018 lw $s1, 0x18($sp) | 0x0001111C 0x8FB2001C lw $s2, 0x1c($sp) | 0x00011120 0x8FBF0020 lw $ra, 0x20($sp) | 0x00011124 0x03E00008 jr $ra","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x00012548,0x00012580,0x000125F4,0x24C40001,addiu,0x00012550,a3,a3,-0x5870,0x00012584,0xACE4A790,1,,Region,,,linear_slice_only,2,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00012548 0x10800005 beqz $a0, 0x12560 | 0x0001254C 0x3C07002B lui $a3, 0x2b | 0x00012550 0x8CE6A790 lw $a2, -0x5870($a3) | 0x00012554 0x2CC80020 sltiu $t0, $a2, 0x20 | 0x00012558 0x15000003 bnez $t0, 0x12568 | 0x0001255C 0x00000000 nop  | 0x00012560 0x1000000A b 0x1258c | 0x00012564 0x00001025 move $v0, $zero | 0x00012568 0x3C09002B lui $t1, 0x2b | 0x0001256C 0x000640C0 sll $t0, $a2, 3 | 0x00012570 0x2529A690 addiu $t1, $t1, -0x5970 | 0x00012574 0x01094021 addu $t0, $t0, $t1 | 0x00012578 0xAD050004 sw $a1, 4($t0) | 0x0001257C 0xAD040000 sw $a0, ($t0) | 0x00012580 0x24C40001 addiu $a0, $a2, 1 | 0x00012584 0xACE4A790 sw $a0, -0x5870($a3) | 0x00012588 0x34020001 ori $v0, $zero, 1 | 0x0001258C 0x03E00008 jr $ra | 0x00012590 0x00000000 nop ","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x000150BC,0x00015160,0x000151D4,0x24840001,addiu,0x0001515C,s1,s1,-0x56c2,0x00015164,0xA624A93E,1,,,,hd44_completed_all_missions,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00015154 0x0C0086EC jal 0x21bb0 | 0x00015158 0x00003025 move $a2, $zero | 0x0001515C 0x9624A93E lhu $a0, -0x56c2($s1) | 0x00015160 0x24840001 addiu $a0, $a0, 1 | 0x00015164 0xA624A93E sh $a0, -0x56c2($s1) | 0x00015168 0x8FB00014 lw $s0, 0x14($sp) | 0x0001516C 0x8FB10018 lw $s1, 0x18($sp) | 0x00015170 0x8FBF001C lw $ra, 0x1c($sp) | 0x00015174 0x03E00008 jr $ra | 0x00015178 0x27BD0020 addiu $sp, $sp, 0x20","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x0001517C,0x0001536C,0x000153E0,0x2631FFFF,addiu,0x00015360,s0,s0,-0x56d4,0x00015370,0xAE11A92C,-1,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00015358 0x0C00916F jal 0x245bc | 0x0001535C 0x00000000 nop  | 0x00015360 0x8E11A92C lw $s1, -0x56d4($s0) | 0x00015364 0x12200003 beqz $s1, 0x15374 | 0x00015368 0x00000000 nop  | 0x0001536C 0x2631FFFF addiu $s1, $s1, -1 | 0x00015370 0xAE11A92C sw $s1, -0x56d4($s0) | 0x00015374 0x16200008 bnez $s1, 0x15398 | 0x00015378 0x3C04002B lui $a0, 0x2b | 0x0001537C 0x8C84A930 lw $a0, -0x56d0($a0) | 0x00015380 0x10800005 beqz $a0, 0x15398 | 0x00015384 0x00000000 nop  | 0x00015388 0xAE00A92C sw $zero, -0x56d4($s0) | 0x0001538C 0x34040005 ori $a0, $zero, 5","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x000157AC,0x000157D8,0x0001584C,0x24A5FFFF,addiu,0x000157D0,a0,a0,-0x56c8,0x000157E0,0xAC85A938,-1,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x000157C8 0x00000000 nop  | 0x000157CC 0x3C04002B lui $a0, 0x2b | 0x000157D0 0x8C85A938 lw $a1, -0x56c8($a0) | 0x000157D4 0x34100000 ori $s0, $zero, 0 | 0x000157D8 0x24A5FFFF addiu $a1, $a1, -1 | 0x000157DC 0x04A10004 bgez $a1, 0x157f0 | 0x000157E0 0xAC85A938 sw $a1, -0x56c8($a0) | 0x000157E4 0x2405FFFF addiu $a1, $zero, -1 | 0x000157E8 0x34100001 ori $s0, $zero, 1 | 0x000157EC 0xAC85A938 sw $a1, -0x56c8($a0) | 0x000157F0 0x12000007 beqz $s0, 0x15810 | 0x000157F4 0x00000000 nop  | 0x000157F8 0x34050020 ori $a1, $zero, 0x20","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
1,Pokitaru,integer_unit_read_modify_write,0x00015AA8,0x00015ACC,0x00015B40,0x24A50001,addiu,0x00015AC8,a0,a0,+0x6f00,0x00015AD4,0xAC856F00,1,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00015AC0 0x3C050005 lui $a1, 5 | 0x00015AC4 0x00852021 addu $a0, $a0, $a1 | 0x00015AC8 0x8C856F00 lw $a1, 0x6f00($a0) | 0x00015ACC 0x24A50001 addiu $a1, $a1, 1 | 0x00015AD0 0x10000035 b 0x15ba8 | 0x00015AD4 0xAC856F00 sw $a1, 0x6f00($a0)","NO AUTOMATIC SCALING: distinguish frame timer, ammo, iteration, refcount; integer timer requires gate or accumulator"
