module,level,candidate_kind,function_rva,arithmetic_rva,arithmetic_file_offset,vanilla_word,operation,memory_load_rva,memory_base,memory_origin_heuristic,field_offset,store_rva,store_vanilla_word,fixed_delta_per_call,direct_objects,objects_within_3_calls,known_wrapper_family,source_strings,evidence_confidence,branches_or_calls_in_linear_slice,status,runtime_address_rule,context,constant_value,constant_bits,constant_rva,constant_definition_rvas,constant_definition_words,static_proposal
22,Airboard — niveau 3,float_read_modify_write,0x00000D2C,0x00000E9C,0x00000F10,0x460D6300,add.s,0x00000E94,s4,a3(entry),+0x40,0x00000EA4,0xE68C0040,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00000E8C 0x460F6300 add.s $f12, $f12, $f15 | 0x00000E90 0xE62C0000 swc1 $f12, ($s1) | 0x00000E94 0xC68C0040 lwc1 $f12, 0x40($s4) | 0x00000E98 0xC68D0044 lwc1 $f13, 0x44($s4) | 0x00000E9C 0x460D6300 add.s $f12, $f12, $f13 | 0x00000EA0 0x1000000F b 0xee0 | 0x00000EA4 0xE68C0040 swc1 $f12, 0x40($s4) | 0x00000EA8 0x8E850048 lw $a1, 0x48($s4) | 0x00000EAC 0x8E86004C lw $a2, 0x4c($s4) | 0x00000EB0 0x0C0002A5 jal 0xa94 | 0x00000EB4 0x02002025 move $a0, $s0 | 0x00000EB8 0x10000009 b 0xee0 | 0x00000EBC 0x02601025 move $v0, $s3",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0000113C,0x00001168,0x000011DC,0x460D6301,sub.s,0x00001164,a0,a0(entry),+0x0,0x00001170,0xE48C0000,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000115C 0x45000005 bc1f 0x1174 | 0x00001160 0x00000000 nop  | 0x00001164 0xC48C0000 lwc1 $f12, ($a0) | 0x00001168 0x460D6301 sub.s $f12, $f12, $f13 | 0x0000116C 0x1000000E b 0x11a8 | 0x00001170 0xE48C0000 swc1 $f12, ($a0) | 0x00001174 0xC48C0008 lwc1 $f12, 8($a0) | 0x00001178 0x1000000B b 0x11a8 | 0x0000117C 0xE48C0000 swc1 $f12, ($a0) | 0x00001180 0x460C683C c.lt.s $f13, $f12 | 0x00001184 0x00000000 nop  | 0x00001188 0x45000005 bc1f 0x11a0",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0000113C,0x00001194,0x00001208,0x460D6300,add.s,0x00001190,a0,a0(entry),+0x0,0x0000119C,0xE48C0000,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00001188 0x45000005 bc1f 0x11a0 | 0x0000118C 0x00000000 nop  | 0x00001190 0xC48C0000 lwc1 $f12, ($a0) | 0x00001194 0x460D6300 add.s $f12, $f12, $f13 | 0x00001198 0x10000003 b 0x11a8 | 0x0000119C 0xE48C0000 swc1 $f12, ($a0) | 0x000011A0 0xC48C0008 lwc1 $f12, 8($a0) | 0x000011A4 0xE48C0000 swc1 $f12, ($a0) | 0x000011A8 0x03E00008 jr $ra | 0x000011AC 0x00000000 nop ",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x000011B0,0x0000121C,0x00001290,0x460C7300,add.s,0x00001214,a0,a0(entry),+0x0,0x00001224,0xE48C0000,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000120C 0x00000000 nop  | 0x00001210 0xC48D0004 lwc1 $f13, 4($a0) | 0x00001214 0xC48E0000 lwc1 $f14, ($a0) | 0x00001218 0x460D6302 mul.s $f12, $f12, $f13 | 0x0000121C 0x460C7300 add.s $f12, $f14, $f12 | 0x00001220 0x10000001 b 0x1228 | 0x00001224 0xE48C0000 swc1 $f12, ($a0) | 0x00001228 0x8FBF0010 lw $ra, 0x10($sp) | 0x0000122C 0x03E00008 jr $ra | 0x00001230 0x27BD0020 addiu $sp, $sp, 0x20",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x00001234,0x00001274,0x000012E8,0x460C7300,add.s,0x0000126C,a0,a0(entry),+0x0,0x0000127C,0xE48C0000,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00001264 0x00000000 nop  | 0x00001268 0xC48D0004 lwc1 $f13, 4($a0) | 0x0000126C 0xC48E0000 lwc1 $f14, ($a0) | 0x00001270 0x460D6302 mul.s $f12, $f12, $f13 | 0x00001274 0x460C7300 add.s $f12, $f14, $f12 | 0x00001278 0x10000001 b 0x1280 | 0x0000127C 0xE48C0000 swc1 $f12, ($a0) | 0x00001280 0x8FBF0010 lw $ra, 0x10($sp) | 0x00001284 0x03E00008 jr $ra | 0x00001288 0x27BD0020 addiu $sp, $sp, 0x20",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0000226C,0x00002280,0x000022F4,0x460C6B00,add.s,0x00002278,a1,a1,+0x1a4,0x00002288,0xE4AC01A4,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00002270 0xC48C0000 lwc1 $f12, ($a0) | 0x00002274 0x24A50288 addiu $a1, $a1, 0x288 | 0x00002278 0xC4AD01A4 lwc1 $f13, 0x1a4($a1) | 0x0000227C 0xC4AE01A8 lwc1 $f14, 0x1a8($a1) | 0x00002280 0x460C6B00 add.s $f12, $f13, $f12 | 0x00002284 0xC4AF01AC lwc1 $f15, 0x1ac($a1) | 0x00002288 0xE4AC01A4 swc1 $f12, 0x1a4($a1) | 0x0000228C 0xC48C0004 lwc1 $f12, 4($a0) | 0x00002290 0x460C7300 add.s $f12, $f14, $f12 | 0x00002294 0xE4AC01A8 swc1 $f12, 0x1a8($a1) | 0x00002298 0xC48C0008 lwc1 $f12, 8($a0) | 0x0000229C 0x460C7B00 add.s $f12, $f15, $f12 | 0x000022A0 0x03E00008 jr $ra",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0000226C,0x00002290,0x00002304,0x460C7300,add.s,0x0000227C,a1,a1,+0x1a8,0x00002294,0xE4AC01A8,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00002274 0x24A50288 addiu $a1, $a1, 0x288 | 0x00002278 0xC4AD01A4 lwc1 $f13, 0x1a4($a1) | 0x0000227C 0xC4AE01A8 lwc1 $f14, 0x1a8($a1) | 0x00002280 0x460C6B00 add.s $f12, $f13, $f12 | 0x00002284 0xC4AF01AC lwc1 $f15, 0x1ac($a1) | 0x00002288 0xE4AC01A4 swc1 $f12, 0x1a4($a1) | 0x0000228C 0xC48C0004 lwc1 $f12, 4($a0) | 0x00002290 0x460C7300 add.s $f12, $f14, $f12 | 0x00002294 0xE4AC01A8 swc1 $f12, 0x1a8($a1) | 0x00002298 0xC48C0008 lwc1 $f12, 8($a0) | 0x0000229C 0x460C7B00 add.s $f12, $f15, $f12 | 0x000022A0 0x03E00008 jr $ra | 0x000022A4 0xE4AC01AC swc1 $f12, 0x1ac($a1)",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0000226C,0x0000229C,0x00002310,0x460C7B00,add.s,0x00002284,a1,a1,+0x1ac,0x000022A4,0xE4AC01AC,,,,,,linear_slice_only,1,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x0000227C 0xC4AE01A8 lwc1 $f14, 0x1a8($a1) | 0x00002280 0x460C6B00 add.s $f12, $f13, $f12 | 0x00002284 0xC4AF01AC lwc1 $f15, 0x1ac($a1) | 0x00002288 0xE4AC01A4 swc1 $f12, 0x1a4($a1) | 0x0000228C 0xC48C0004 lwc1 $f12, 4($a0) | 0x00002290 0x460C7300 add.s $f12, $f14, $f12 | 0x00002294 0xE4AC01A8 swc1 $f12, 0x1a8($a1) | 0x00002298 0xC48C0008 lwc1 $f12, 8($a0) | 0x0000229C 0x460C7B00 add.s $f12, $f15, $f12 | 0x000022A0 0x03E00008 jr $ra | 0x000022A4 0xE4AC01AC swc1 $f12, 0x1ac($a1)",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x00002C4C,0x00002C7C,0x00002CF0,0x460C8400,add.s,0x00002C68,s0,s0,+0x190,0x00002C8C,0xE6100190,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00002C60 0x8E050170 lw $a1, 0x170($s0) | 0x00002C64 0x8E060174 lw $a2, 0x174($s0) | 0x00002C68 0xC6100190 lwc1 $f16, 0x190($s0) | 0x00002C6C 0xAE040198 sw $a0, 0x198($s0) | 0x00002C70 0xC60C0194 lwc1 $f12, 0x194($s0) | 0x00002C74 0xAE05019C sw $a1, 0x19c($s0) | 0x00002C78 0xAE0601A0 sw $a2, 0x1a0($s0) | 0x00002C7C 0x460C8400 add.s $f16, $f16, $f12 | 0x00002C80 0xAFA40010 sw $a0, 0x10($sp) | 0x00002C84 0xAFA50014 sw $a1, 0x14($sp) | 0x00002C88 0xAFA60018 sw $a2, 0x18($sp) | 0x00002C8C 0xE6100190 swc1 $f16, 0x190($s0) | 0x00002C90 0x3C043F80 lui $a0, 0x3f80 | 0x00002C94 0xC7AE0010 lwc1 $f14, 0x10($sp) | 0x00002C98 0x44847800 mtc1 $a0, $f15 | 0x00002C9C 0xC7AD0014 lwc1 $f13, 0x14($sp)",,,,,,
22,Airboard — niveau 3,float_read_modify_write,0x0000307C,0x00003178,0x000031EC,0x46101400,add.s,0x00003138,s1,a0(entry),+0x0,0x00003184,0xE6300000,,,,,,local_straight_line,0,STATIC_CANDIDATE_NOT_APPLIED_NOT_LIVE_VALIDATED,current verified module text base + RVA,"0x00003130 0xC6400004 lwc1 $f0, 4($s2) | 0x00003134 0x460F03C0 add.s $f15, $f0, $f15 | 0x00003138 0xC6220000 lwc1 $f2, ($s1) | 0x0000313C 0xE62F0004 swc1 $f15, 4($s1) | 0x00003140 0xC48F0068 lwc1 $f15, 0x68($a0) | 0x00003144 0x46017BC2 mul.s $f15, $f15, $f1 | 0x00003148 0xC6510008 lwc1 $f17, 8($s2) | 0x0000314C 0x460F8BC0 add.s $f15, $f17, $f15 | 0x00003150 0xC6320004 lwc1 $f18, 4($s1) | 0x00003154 0x46107402 mul.s $f16, $f14, $f16 | 0x00003158 0x460C7302 mul.s $f12, $f14, $f12 | 0x0000315C 0xE62F0008 swc1 $f15, 8($s1) | 0x00003160 0x460D7342 mul.s $f13, $f14, $f13 | 0x00003164 0xC48F0284 lwc1 $f15, 0x284($a0) | 0x00003168 0x460F8402 mul.s $f16, $f16, $f15 | 0x0000316C 0x460F6302 mul.s $f12, $f12, $f15 | 0x00003170 0x460F6B42 mul.s $f13, $f13, $f15 | 0x00003174 0xC62E0008 lwc1 $f14, 8($s1) | 0x00003178 0x46101400 add.s $f16, $f2, $f16 | 0x0000317C 0x460C9300 add.s $f12, $f18, $f12 | 0x00003180 0x460D7340 add.s $f13, $f14, $f13 | 0x00003184 0xE6300000 swc1 $f16, ($s1) | 0x00003188 0xE62C0004 swc1 $f12, 4($s1) | 0x0000318C 0xE62D0008 swc1 $f13, 8($s1) | 0x00003190 0x8FB0001C lw $s0, 0x1c($sp) | 0x00003194 0x8FB10020 lw $s1, 0x20($sp) | 0x00003198 0x8FB20024 lw $s2, 0x24($sp)",,,,,,
