module,level,object_name,category,descriptor_rva,descriptor_file_offset,name_pointer_vanilla_word,object_name_rva,callback_count,callback_rvas,callback_pointer_file_offsets,pvar_schema,candidate_sites_depth3,fixed_step_sites_depth3,static_presence_only,runtime_address_rule
1,Pokitaru,Acidbomb,"Armes, projectiles et degats",0x002CCC90,0x002CCD04,0x001C5DF0,0x001C5DF0,3,0x00106BBC; 0x00106BCC; 0x00107534,0x002CCD08; 0x002CCD0C; 0x002CCD10,,35,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AcidbombEpoxy,"Armes, projectiles et degats",0x002CCD18,0x002CCD8C,0x001C5E18,0x001C5E18,3,0x00108978; 0x00108980; 0x00108A08,0x002CCD90; 0x002CCD94; 0x002CCD98,,5,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AcidGloveHUD,"Armes, projectiles et degats",0x002CCD78,0x002CCDEC,0x001C5E28,0x001C5E28,3,0x00108F10; 0x00108F18; 0x00108F20,0x002CCDF0; 0x002CCDF4; 0x002CCDF8,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentController,"Armes, projectiles et degats",0x002CCDD8,0x002CCE4C,0x001C5E38,0x001C5E38,3,0x00108F28; 0x00109018; 0x001091D0,0x002CCE50; 0x002CCE54; 0x002CCE58,,6,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentOfDoom,"Armes, projectiles et degats",0x002CD12C,0x002CD1A0,0x001C5F10,0x001C5F10,4,0x00109820; 0x001098FC; 0x001099BC; 0x00109CDC,0x002CD1A4; 0x002CD1A8; 0x002CD1AC; 0x002CD1B0,,21,1,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentOfDoomShrapnel,"Armes, projectiles et degats",0x002CD20C,0x002CD280,0x001C5F98,0x001C5F98,3,0x0010E3F4; 0x0010E3FC; 0x0010E404,0x002CD284; 0x002CD288; 0x002CD28C,,31,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentsBomb,"Armes, projectiles et degats",0x002CD348,0x002CD3BC,0x001C5FB0,0x001C5FB0,3,0x0010E704; 0x0010E70C; 0x0010E714,0x002CD3C0; 0x002CD3C4; 0x002CD3C8,,19,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentsGlove,"Armes, projectiles et degats",0x002CD3E0,0x002CD454,0x001C5FC0,0x001C5FC0,3,0x0010FCA0; 0x0010FD2C; 0x0010FD58,0x002CD458; 0x002CD45C; 0x002CD460,,8,2,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentsGrenade,"Armes, projectiles et degats",0x002CD48C,0x002CD500,0x001C5FD0,0x001C5FD0,3,0x00110228; 0x00110318; 0x001107CC,0x002CD504; 0x002CD508; 0x002CD50C,,33,2,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentsLaser,"Armes, projectiles et degats",0x002CD534,0x002CD5A8,0x001C6058,0x001C6058,3,0x00110D48; 0x00111050; 0x00111104,0x002CD5AC; 0x002CD5B0; 0x002CD5B4,,17,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,AgentsRocket,"Armes, projectiles et degats",0x002CD628,0x002CD69C,0x001C6130,0x001C6130,3,0x00111B10; 0x00111BD4; 0x00111C54,0x002CD6A0; 0x002CD6A4; 0x002CD6A8,,26,1,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorHelmet,Autres objets et controleurs,0x002CD6C0,0x002CD734,0x001C61B8,0x001C61B8,3,0x0011253C; 0x00112544; 0x0011254C,0x002CD738; 0x002CD73C; 0x002CD740,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorLeftFoot,Autres objets et controleurs,0x002CD720,0x002CD794,0x001C61C8,0x001C61C8,3,0x00112554; 0x0011255C; 0x00112564,0x002CD798; 0x002CD79C; 0x002CD7A0,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorLeftHand,Autres objets et controleurs,0x002CD790,0x002CD804,0x001C61D8,0x001C61D8,3,0x0011256C; 0x00112574; 0x0011257C,0x002CD808; 0x002CD80C; 0x002CD810,u32 pad[ 4 ];,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorPickup,"Caisses, pickups et bonus",0x002CD8C0,0x002CD934,0x001C61E8,0x001C61E8,3,0x001128F0; 0x001125A0; 0x00112DF4,0x002CD938; 0x002CD93C; 0x002CD940,f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; MobyLink driver; MobyLink playerMatrix; u32 playthroughReq; Toggle magnaboots; u8 pad[ 15 ];,43,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorRightFoot,Autres objets et controleurs,0x002CD938,0x002CD9AC,0x001C6378,0x001C6378,3,0x00113330; 0x00113338; 0x00113340,0x002CD9B0; 0x002CD9B4; 0x002CD9B8,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorRightHand,Autres objets et controleurs,0x002CD9A8,0x002CDA1C,0x001C6388,0x001C6388,3,0x00113348; 0x00113350; 0x00113358,0x002CDA20; 0x002CDA24; 0x002CDA28,u32 pad[ 4 ];,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ArmorTorso,Vehicules et minijeux,0x002CDA08,0x002CDA7C,0x001C6398,0x001C6398,3,0x00113360; 0x00113368; 0x00113370,0x002CDA80; 0x002CDA84; 0x002CDA88,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BeeMine,"Armes, projectiles et degats",0x002CDAEC,0x002CDB60,0x001C63A8,0x001C63A8,4,0x00113A10; 0x00113A20; 0x00113E00; 0x00113AF8,0x002CDB64; 0x002CDB68; 0x002CDB6C; 0x002CDB70,,2,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BeeMineGlove,"Armes, projectiles et degats",0x002CDBB8,0x002CDC2C,0x001C63D8,0x001C63D8,3,0x001157DC; 0x00115964; 0x00115990,0x002CDC30; 0x002CDC34; 0x002CDC38,,2,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BeeMineGloveHUD,"Armes, projectiles et degats",0x002CDC18,0x002CDC8C,0x001C63E8,0x001C63E8,3,0x00115FB0; 0x00115FB8; 0x00115FC0,0x002CDC90; 0x002CDC94; 0x002CDC98,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BeeMineShrapnel,"Armes, projectiles et degats",0x002CDCE4,0x002CDD58,0x001C63F8,0x001C63F8,3,0x001162F8; 0x00116300; 0x00116308,0x002CDD5C; 0x002CDD60; 0x002CDD64,,31,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,Blaster,"Armes, projectiles et degats",0x002CDDD4,0x002CDE48,0x001C6408,0x001C6408,3,0x00116380; 0x001164DC; 0x00116A00,0x002CDE4C; 0x002CDE50; 0x002CDE54,,53,3,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BlasterAkimbo,"Armes, projectiles et degats",0x002CDE40,0x002CDEB4,0x001C6410,0x001C6410,3,0x001179E0; 0x00117A64; 0x00117A94,0x002CDEB8; 0x002CDEBC; 0x002CDEC0,,21,2,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BlasterShot,"Armes, projectiles et degats",0x002CDEB4,0x002CDF28,0x001C6420,0x001C6420,3,0x00117D64; 0x00117D8C; 0x00118130,0x002CDF2C; 0x002CDF30; 0x002CDF34,,28,2,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BlitzGun,"Armes, projectiles et degats",0x002CE314,0x002CE388,0x001C6430,0x001C6430,3,0x00119FFC; 0x0011A158; 0x0011A5B0,0x002CE38C; 0x002CE390; 0x002CE394,,40,1,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BlitzGunShot,"Armes, projectiles et degats",0x002CE4A4,0x002CE518,0x001C6440,0x001C6440,3,0x0011C044; 0x0011C04C; 0x0011C1E8,0x002CE51C; 0x002CE520; 0x002CE524,,21,2,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,Bolt,"Caisses, pickups et bonus",0x002CE508,0x002CE57C,0x001C6450,0x001C6450,2,0x0011CCF8; 0x0011CD00,0x002CE580; 0x002CE584,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BoltController,"Caisses, pickups et bonus",0x002CE7FC,0x002CE870,0x001C6498,0x001C6498,3,0x00120268; 0x0012049C; 0x001204C0,0x002CE874; 0x002CE878; 0x002CE87C,u32 boltAmnt; u32 boltAmountReplay; u32 pad[ 2 ];,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BoltCrankBolt,Pieges et mecanismes,0x002CE88C,0x002CE900,0x001C6548,0x001C6548,3,0x0012085C; 0x00120A78; 0x00120A80,0x002CE904; 0x002CE908; 0x002CE90C,,29,1,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BoltCrankCam,Pieges et mecanismes,0x002CE978,0x002CE9EC,0x001C65D0,0x001C65D0,3,0x00120F70; 0x00120FAC; 0x00120FB4,0x002CE9F0; 0x002CE9F4; 0x002CE9F8,MobyLink boltCrank; f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; f32 camBlend; f32 pad;,2,1,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BoltGrabber,"Caisses, pickups et bonus",0x002CE9D8,0x002CEA4C,0x001C65E0,0x001C65E0,3,0x00121254; 0x0012125C; 0x00121264,0x002CEA50; 0x002CEA54; 0x002CEA58,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,Bombglove,"Armes, projectiles et degats",0x002CEA9C,0x002CEB10,0x001C65F0,0x001C65F0,3,0x0012126C; 0x00121344; 0x001217F4,0x002CEB14; 0x002CEB18; 0x002CEB1C,,17,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BoxBreaker,"Caisses, pickups et bonus",0x002CEB00,0x002CEB74,0x001C6600,0x001C6600,3,0x00121D64; 0x00121D6C; 0x00121D74,0x002CEB78; 0x002CEB7C; 0x002CEB80,,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BoxBreakerHelp,"Caisses, pickups et bonus",0x002CEB60,0x002CEBD4,0x001C6610,0x001C6610,3,0x00121E00; 0x00121E08; 0x00121E10,0x002CEBD8; 0x002CEBDC; 0x002CEBE0,,5,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,BreakableObject,"Caisses, pickups et bonus",0x002CEBC0,0x002CEC34,0x001C6630,0x001C6630,4,0x00121E5C; 0x0012204C; 0x00122080; 0x00122088,0x002CEC38; 0x002CEC3C; 0x002CEC40; 0x002CEC44,,17,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,Butterfly,"Effets, particules et environnement",0x002CED2C,0x002CEDA0,0x001C6640,0x001C6640,3,0x001220C8; 0x001223B4; 0x00122820,0x002CEDA4; 0x002CEDA8; 0x002CEDAC,VEC4 localRotVel; VEC4 localDir; VEC4 localPos; VEC4 localDest; VEC3 globalRotVel; CurveLink path; f32 speed; Particle *pLeftWing; Particle *pRightWing; f32 angleSpeed; f32 localAccel; f32 localSpeed; f32 targetSpeed; u16 localPointTimer; u8 curvePoint; u8 pad[ 1 ];,19,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ChameleonDecoy,Autres objets et controleurs,0x002CEEEC,0x002CEF60,0x001C6710,0x001C6710,4,0x00123228; 0x00123230; 0x00123248; 0x001232D0,0x002CEF64; 0x002CEF68; 0x002CEF6C; 0x002CEF70,,7,1,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ClankForShipAnim,"Joueur, acteurs et accessoires",0x002CEF60,0x002CEFD4,0x001C6720,0x001C6720,3,0x00123384; 0x0012338C; 0x00123394,0x002CEFD8; 0x002CEFDC; 0x002CEFE0,u32 pad[ 4 ];,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ClankPack,"Joueur, acteurs et accessoires",0x002CEFC0,0x002CF034,0x001C6738,0x001C6738,3,0x0012339C; 0x001233CC; 0x001233D4,0x002CF038; 0x002CF03C; 0x002CF040,,2,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ConditionalStartLocation,Autres objets et controleurs,0x002CF054,0x002CF0C8,0x001C6748,0x001C6748,3,0x001233F8; 0x0012341C; 0x00123424,0x002CF0CC; 0x002CF0D0; 0x002CF0D4,u32 fromLevelId; u32 levelBeenSeenId; u32 pad[ 2 ];,5,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,ContinuePoint,Autres objets et controleurs,0x002CF0E4,0x002CF158,0x001C6768,0x001C6768,3,0x001234A4; 0x001234C8; 0x001234D0,0x002CF15C; 0x002CF160; 0x002CF164,TriggerLink activateTrigger; u8 index;,0,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,CowBell,Autres objets et controleurs,0x002CF184,0x002CF1F8,0x001C6778,0x001C6778,3,0x001239A0; 0x001239A8; 0x001239B0,0x002CF1FC; 0x002CF200; 0x002CF204,,31,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,Crab,Ennemis et boss,0x002CF444,0x002CF4B8,0x001C6780,0x001C6780,4,0x00123AE8; 0x00124114; 0x00126F28; 0x001241E8,0x002CF4BC; 0x002CF4C0; 0x002CF4C4; 0x002CF4C8,Navigate navigateBehavior; TriggerLink detectArea; TriggerLink startPathTrigger; MobyLink objController; MobyLink enemyController; CurveLink initCurve; MobyLink enemyWave; f32 scale; TriggerLink noDetectArea; Toggle pathNotice; u8 pad[ 3 ];,77,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,CrabObjectController,Ennemis et boss,0x002CF574,0x002CF5E8,0x001C6A48,0x001C6A48,3,0x00127C7C; 0x00127CF0; 0x00127F18,0x002CF5EC; 0x002CF5F0; 0x002CF5F4,TieLink examineObjs[ 8 ]; VEC4 velocities [ 8 ]; VEC4 rotationAxes[ 8 ]; f32 stopRollingThresh[ 8 ]; u8 flags[ 8 ]; u32 examineObjCount; u32 pad[ 1 ];,8,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
1,Pokitaru,CrabShrapnel,Ennemis et boss,0x002CF790,0x002CF804,0x001C6A60,0x001C6A60,3,0x001281B8; 0x001281C0; 0x001281C8,0x002CF808; 0x002CF80C; 0x002CF810,,32,0,compiled descriptor; no assertion spawned or active,current verified module text base + RVA
