module,level,family,rva,file_offset,file_word,runtime_formula,reference_address_NOT_live,binary_check,owner_rva,default_policy
1,Pokitaru,WF-005,0x0000E528,0x0000E59C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09148228,PASS,0x0000E4F4,VANILLA
1,Pokitaru,WF-005,0x0000E544,0x0000E5B8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09148244,PASS,0x0000E4F4,VANILLA
1,Pokitaru,WF-005,0x0000E560,0x0000E5D4,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09148260,PASS,0x0000E4F4,VANILLA
1,Pokitaru,WF-013,0x0000E7A4,0x0000E818,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091484A4,PASS,0x0000E768,VANILLA
1,Pokitaru,WF-013,0x0000E7C8,0x0000E83C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091484C8,PASS,0x0000E768,VANILLA
1,Pokitaru,WF-015,0x00010DE0,0x00010E54,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0914AAE0,PASS,0x00010B44,VANILLA
1,Pokitaru,WF-014,0x00028F88,0x00028FFC,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09162C88,PASS,0x00028E9C,VANILLA
1,Pokitaru,WF-014,0x00028FAC,0x00029020,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09162CAC,PASS,0x00028E9C,VANILLA
1,Pokitaru,WF-014,0x00028FD0,0x00029044,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09162CD0,PASS,0x00028E9C,VANILLA
1,Pokitaru,WF-021,0x000295F0,0x00029664,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091632F0,PASS,0x000295B4,VANILLA
1,Pokitaru,WF-017,0x0002BF20,0x0002BF94,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09165C20,PASS,0x0002BE30,VANILLA
1,Pokitaru,WF-017,0x0002BF44,0x0002BFB8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09165C44,PASS,0x0002BE30,VANILLA
1,Pokitaru,WF-017,0x0002BF68,0x0002BFDC,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09165C68,PASS,0x0002BE30,VANILLA
1,Pokitaru,WF-002,0x0004A3B8,0x0004A42C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091840B8,PASS,0x0004A158,VANILLA
1,Pokitaru,WF-001,0x0004AA94,0x0004AB08,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09184794,PASS,0x0004A4F0,VANILLA
1,Pokitaru,WF-001,0x0004AAC8,0x0004AB3C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091847C8,PASS,0x0004A4F0,VANILLA
1,Pokitaru,WF-001,0x0004AC44,0x0004ACB8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09184944,PASS,0x0004A4F0,VANILLA
1,Pokitaru,WF-003,0x0004E8E4,0x0004E958,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091885E4,PASS,0x0004E008,VANILLA
1,Pokitaru,WF-004,0x000563A8,0x0005641C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x091900A8,PASS,0x00056348,VANILLA
1,Pokitaru,WF-008,0x0010B01C,0x0010B090,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09244D1C,PASS,0x0010AFB4,VANILLA
1,Pokitaru,WF-008,0x0010B03C,0x0010B0B0,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09244D3C,PASS,0x0010AFB4,VANILLA
1,Pokitaru,WF-009,0x0010B29C,0x0010B310,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09244F9C,PASS,0x0010B1D0,VANILLA
1,Pokitaru,WF-009,0x0010B2BC,0x0010B330,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09244FBC,PASS,0x0010B1D0,VANILLA
1,Pokitaru,WF-007,0x0010B4EC,0x0010B560,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092451EC,PASS,0x0010B498,VANILLA
1,Pokitaru,WF-007,0x0010B56C,0x0010B5E0,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0924526C,PASS,0x0010B498,VANILLA
1,Pokitaru,WF-007,0x0010B594,0x0010B608,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09245294,PASS,0x0010B498,VANILLA
1,Pokitaru,WF-010,0x0010DF78,0x0010DFEC,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09247C78,PASS,0x0010DE64,VANILLA
1,Pokitaru,WF-010,0x0010E038,0x0010E0AC,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09247D38,PASS,0x0010DE64,VANILLA
1,Pokitaru,WF-051,0x00122B44,0x00122BB8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0925C844,PASS,0x00122820,VANILLA
1,Pokitaru,WF-031,0x00128D34,0x00128DA8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09262A34,PASS,0x00128C20,VANILLA
1,Pokitaru,WF-047,0x0012E994,0x0012EA08,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09268694,PASS,0x0012E950,VANILLA
1,Pokitaru,WF-033,0x0012EA64,0x0012EAD8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09268764,PASS,0x0012E9F4,VANILLA
1,Pokitaru,WF-033,0x0012EA80,0x0012EAF4,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09268780,PASS,0x0012E9F4,VANILLA
1,Pokitaru,WF-033,0x0012EA9C,0x0012EB10,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0926879C,PASS,0x0012E9F4,VANILLA
1,Pokitaru,WF-033,0x0012EC0C,0x0012EC80,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0926890C,PASS,0x0012E9F4,VANILLA
1,Pokitaru,WF-033,0x0012EC30,0x0012ECA4,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09268930,PASS,0x0012E9F4,VANILLA
1,Pokitaru,WF-033,0x0012EC4C,0x0012ECC0,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0926894C,PASS,0x0012E9F4,VANILLA
1,Pokitaru,WF-016,0x001442FC,0x00144370,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0927DFFC,PASS,0x00143FEC,VANILLA
1,Pokitaru,WF-016,0x001445A0,0x00144614,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0927E2A0,PASS,0x00143FEC,VANILLA
1,Pokitaru,WF-036,0x0014EF28,0x0014EF9C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09288C28,PASS,0x0014EB68,VANILLA
1,Pokitaru,WF-036,0x0014F5C4,0x0014F638,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092892C4,PASS,0x0014EB68,VANILLA
1,Pokitaru,WF-036,0x0014F968,0x0014F9DC,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x09289668,PASS,0x0014EB68,VANILLA
1,Pokitaru,WF-046,0x001508C8,0x0015093C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x0928A5C8,PASS,0x0015083C,VANILLA
1,Pokitaru,WF-006,0x0015FBC4,0x0015FC38,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092998C4,PASS,0x0015FB68,VANILLA
1,Pokitaru,WF-027,0x0016B93C,0x0016B9B0,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092A563C,PASS,0x0016B830,VANILLA
1,Pokitaru,WF-027,0x0016B958,0x0016B9CC,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092A5658,PASS,0x0016B830,VANILLA
1,Pokitaru,WF-027,0x0016BC40,0x0016BCB4,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092A5940,PASS,0x0016B830,VANILLA
1,Pokitaru,WF-027,0x0016BC64,0x0016BCD8,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092A5964,PASS,0x0016B830,VANILLA
1,Pokitaru,WF-027,0x0016BD30,0x0016BDA4,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092A5A30,PASS,0x0016B830,VANILLA
1,Pokitaru,WF-030,0x0017DCAC,0x0017DD20,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092B79AC,PASS,0x0017D49C,VANILLA
1,Pokitaru,WF-019,0x00187724,0x00187798,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092C1424,PASS,0x00187614,VANILLA
1,Pokitaru,WF-019,0x001879A4,0x00187A18,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092C16A4,PASS,0x00187614,VANILLA
1,Pokitaru,WF-012,0x001902AC,0x00190320,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092C9FAC,PASS,0x001901F4,VANILLA
1,Pokitaru,WF-011,0x00190998,0x00190A0C,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092CA698,PASS,0x00190948,VANILLA
1,Pokitaru,WF-011,0x001909B4,0x00190A28,0x0C0038D7,base + RVA; JAL requires R_MIPS_26 relocation,0x092CA6B4,PASS,0x00190948,VANILLA
2,Ryllus,WF-005,0x0000E58C,0x0000E600,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0914828C,PASS,0x0000E558,VANILLA
2,Ryllus,WF-005,0x0000E5A8,0x0000E61C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x091482A8,PASS,0x0000E558,VANILLA
2,Ryllus,WF-005,0x0000E5C4,0x0000E638,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x091482C4,PASS,0x0000E558,VANILLA
2,Ryllus,WF-013,0x0000E808,0x0000E87C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09148508,PASS,0x0000E7CC,VANILLA
2,Ryllus,WF-013,0x0000E82C,0x0000E8A0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0914852C,PASS,0x0000E7CC,VANILLA
2,Ryllus,WF-020,0x0000E9A8,0x0000EA1C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x091486A8,PASS,0x0000E8C8,VANILLA
2,Ryllus,WF-020,0x0000E9C8,0x0000EA3C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x091486C8,PASS,0x0000E8C8,VANILLA
2,Ryllus,WF-015,0x0001137C,0x000113F0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0914B07C,PASS,0x000110E0,VANILLA
2,Ryllus,WF-014,0x00029328,0x0002939C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09163028,PASS,0x0002923C,VANILLA
2,Ryllus,WF-014,0x0002934C,0x000293C0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0916304C,PASS,0x0002923C,VANILLA
2,Ryllus,WF-014,0x00029370,0x000293E4,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09163070,PASS,0x0002923C,VANILLA
2,Ryllus,WF-021,0x0002988C,0x00029900,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0916358C,PASS,0x00029850,VANILLA
2,Ryllus,WF-017,0x0002C21C,0x0002C290,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09165F1C,PASS,0x0002C12C,VANILLA
2,Ryllus,WF-017,0x0002C240,0x0002C2B4,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09165F40,PASS,0x0002C12C,VANILLA
2,Ryllus,WF-017,0x0002C264,0x0002C2D8,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09165F64,PASS,0x0002C12C,VANILLA
2,Ryllus,WF-022,0x0002D850,0x0002D8C4,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09167550,PASS,0x0002D800,VANILLA
2,Ryllus,WF-023,0x000306B4,0x00030728,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0916A3B4,PASS,0x00030648,VANILLA
2,Ryllus,WF-023,0x0003084C,0x000308C0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0916A54C,PASS,0x00030648,VANILLA
2,Ryllus,WF-002,0x0004EC6C,0x0004ECE0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0918896C,PASS,0x0004EA0C,VANILLA
2,Ryllus,WF-001,0x0004F348,0x0004F3BC,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09189048,PASS,0x0004EDA4,VANILLA
2,Ryllus,WF-001,0x0004F37C,0x0004F3F0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0918907C,PASS,0x0004EDA4,VANILLA
2,Ryllus,WF-001,0x0004F4F8,0x0004F56C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x091891F8,PASS,0x0004EDA4,VANILLA
2,Ryllus,WF-003,0x00053198,0x0005320C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0918CE98,PASS,0x000528BC,VANILLA
2,Ryllus,WF-004,0x0005ADDC,0x0005AE50,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09194ADC,PASS,0x0005AD7C,VANILLA
2,Ryllus,WF-008,0x0011098C,0x00110A00,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924A68C,PASS,0x00110924,VANILLA
2,Ryllus,WF-008,0x001109AC,0x00110A20,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924A6AC,PASS,0x00110924,VANILLA
2,Ryllus,WF-009,0x00110C0C,0x00110C80,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924A90C,PASS,0x00110B40,VANILLA
2,Ryllus,WF-009,0x00110C2C,0x00110CA0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924A92C,PASS,0x00110B40,VANILLA
2,Ryllus,WF-007,0x00110E5C,0x00110ED0,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924AB5C,PASS,0x00110E08,VANILLA
2,Ryllus,WF-007,0x00110EDC,0x00110F50,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924ABDC,PASS,0x00110E08,VANILLA
2,Ryllus,WF-007,0x00110F04,0x00110F78,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924AC04,PASS,0x00110E08,VANILLA
2,Ryllus,WF-010,0x001138E8,0x0011395C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924D5E8,PASS,0x001137D4,VANILLA
2,Ryllus,WF-010,0x001139A8,0x00113A1C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x0924D6A8,PASS,0x001137D4,VANILLA
2,Ryllus,WF-032,0x001295BC,0x00129630,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x092632BC,PASS,0x001292F0,VANILLA
2,Ryllus,WF-032,0x001295FC,0x00129670,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x092632FC,PASS,0x001292F0,VANILLA
2,Ryllus,WF-032,0x00129618,0x0012968C,0x0C0038D0,base + RVA; JAL requires R_MIPS_26 relocation,0x09263318,PASS,0x001292F0,VANILLA
