module_key,module_index,level,descriptor_rva,descriptor_runtime,object_name,callback_count,callback_rvas,callback_runtime_addresses,pvar_schema
LEVEL_01,1,Pokitaru,0x002CCC90,0x09406990,Acidbomb,3,0x00106BBC; 0x00106BCC; 0x00107534,0x092408BC; 0x092408CC; 0x09241234,
LEVEL_01,1,Pokitaru,0x002CCD18,0x09406A18,AcidbombEpoxy,3,0x00108978; 0x00108980; 0x00108A08,0x09242678; 0x09242680; 0x09242708,
LEVEL_01,1,Pokitaru,0x002CCD78,0x09406A78,AcidGloveHUD,3,0x00108F10; 0x00108F18; 0x00108F20,0x09242C10; 0x09242C18; 0x09242C20,
LEVEL_01,1,Pokitaru,0x002CCDD8,0x09406AD8,AgentController,3,0x00108F28; 0x00109018; 0x001091D0,0x09242C28; 0x09242D18; 0x09242ED0,
LEVEL_01,1,Pokitaru,0x002CD12C,0x09406E2C,AgentOfDoom,4,0x00109820; 0x001098FC; 0x001099BC; 0x00109CDC,0x09243520; 0x092435FC; 0x092436BC; 0x092439DC,
LEVEL_01,1,Pokitaru,0x002CD20C,0x09406F0C,AgentOfDoomShrapnel,3,0x0010E3F4; 0x0010E3FC; 0x0010E404,0x092480F4; 0x092480FC; 0x09248104,
LEVEL_01,1,Pokitaru,0x002CD348,0x09407048,AgentsBomb,3,0x0010E704; 0x0010E70C; 0x0010E714,0x09248404; 0x0924840C; 0x09248414,
LEVEL_01,1,Pokitaru,0x002CD3E0,0x094070E0,AgentsGlove,3,0x0010FCA0; 0x0010FD2C; 0x0010FD58,0x092499A0; 0x09249A2C; 0x09249A58,
LEVEL_01,1,Pokitaru,0x002CD48C,0x0940718C,AgentsGrenade,3,0x00110228; 0x00110318; 0x001107CC,0x09249F28; 0x0924A018; 0x0924A4CC,
LEVEL_01,1,Pokitaru,0x002CD534,0x09407234,AgentsLaser,3,0x00110D48; 0x00111050; 0x00111104,0x0924AA48; 0x0924AD50; 0x0924AE04,
LEVEL_01,1,Pokitaru,0x002CD628,0x09407328,AgentsRocket,3,0x00111B10; 0x00111BD4; 0x00111C54,0x0924B810; 0x0924B8D4; 0x0924B954,
LEVEL_01,1,Pokitaru,0x002CD6C0,0x094073C0,ArmorHelmet,3,0x0011253C; 0x00112544; 0x0011254C,0x0924C23C; 0x0924C244; 0x0924C24C,
LEVEL_01,1,Pokitaru,0x002CD720,0x09407420,ArmorLeftFoot,3,0x00112554; 0x0011255C; 0x00112564,0x0924C254; 0x0924C25C; 0x0924C264,
LEVEL_01,1,Pokitaru,0x002CD790,0x09407490,ArmorLeftHand,3,0x0011256C; 0x00112574; 0x0011257C,0x0924C26C; 0x0924C274; 0x0924C27C,u32 pad[ 4 ];
LEVEL_01,1,Pokitaru,0x002CD8C0,0x094075C0,ArmorPickup,3,0x001128F0; 0x001125A0; 0x00112DF4,0x0924C5F0; 0x0924C2A0; 0x0924CAF4,f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; MobyLink driver; MobyLink playerMatrix; u32 playthroughReq; Toggle magnaboots; u8 pad[ 15 ];
LEVEL_01,1,Pokitaru,0x002CD938,0x09407638,ArmorRightFoot,3,0x00113330; 0x00113338; 0x00113340,0x0924D030; 0x0924D038; 0x0924D040,
LEVEL_01,1,Pokitaru,0x002CD9A8,0x094076A8,ArmorRightHand,3,0x00113348; 0x00113350; 0x00113358,0x0924D048; 0x0924D050; 0x0924D058,u32 pad[ 4 ];
LEVEL_01,1,Pokitaru,0x002CDA08,0x09407708,ArmorTorso,3,0x00113360; 0x00113368; 0x00113370,0x0924D060; 0x0924D068; 0x0924D070,
LEVEL_01,1,Pokitaru,0x002CDAEC,0x094077EC,BeeMine,4,0x00113A10; 0x00113A20; 0x00113E00; 0x00113AF8,0x0924D710; 0x0924D720; 0x0924DB00; 0x0924D7F8,
LEVEL_01,1,Pokitaru,0x002CDBB8,0x094078B8,BeeMineGlove,3,0x001157DC; 0x00115964; 0x00115990,0x0924F4DC; 0x0924F664; 0x0924F690,
LEVEL_01,1,Pokitaru,0x002CDC18,0x09407918,BeeMineGloveHUD,3,0x00115FB0; 0x00115FB8; 0x00115FC0,0x0924FCB0; 0x0924FCB8; 0x0924FCC0,
LEVEL_01,1,Pokitaru,0x002CDCE4,0x094079E4,BeeMineShrapnel,3,0x001162F8; 0x00116300; 0x00116308,0x0924FFF8; 0x09250000; 0x09250008,
LEVEL_01,1,Pokitaru,0x002CDDD4,0x09407AD4,Blaster,3,0x00116380; 0x001164DC; 0x00116A00,0x09250080; 0x092501DC; 0x09250700,
LEVEL_01,1,Pokitaru,0x002CDE40,0x09407B40,BlasterAkimbo,3,0x001179E0; 0x00117A64; 0x00117A94,0x092516E0; 0x09251764; 0x09251794,
LEVEL_01,1,Pokitaru,0x002CDEB4,0x09407BB4,BlasterShot,3,0x00117D64; 0x00117D8C; 0x00118130,0x09251A64; 0x09251A8C; 0x09251E30,
LEVEL_01,1,Pokitaru,0x002CE314,0x09408014,BlitzGun,3,0x00119FFC; 0x0011A158; 0x0011A5B0,0x09253CFC; 0x09253E58; 0x092542B0,
LEVEL_01,1,Pokitaru,0x002CE4A4,0x094081A4,BlitzGunShot,3,0x0011C044; 0x0011C04C; 0x0011C1E8,0x09255D44; 0x09255D4C; 0x09255EE8,
LEVEL_01,1,Pokitaru,0x002CE508,0x09408208,Bolt,2,0x0011CCF8; 0x0011CD00,0x092569F8; 0x09256A00,
LEVEL_01,1,Pokitaru,0x002CE7FC,0x094084FC,BoltController,3,0x00120268; 0x0012049C; 0x001204C0,0x09259F68; 0x0925A19C; 0x0925A1C0,u32 boltAmnt; u32 boltAmountReplay; u32 pad[ 2 ];
LEVEL_01,1,Pokitaru,0x002CE88C,0x0940858C,BoltCrankBolt,3,0x0012085C; 0x00120A78; 0x00120A80,0x0925A55C; 0x0925A778; 0x0925A780,
LEVEL_01,1,Pokitaru,0x002CE978,0x09408678,BoltCrankCam,3,0x00120F70; 0x00120FAC; 0x00120FB4,0x0925AC70; 0x0925ACAC; 0x0925ACB4,MobyLink boltCrank; f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; f32 camBlend; f32 pad;
LEVEL_01,1,Pokitaru,0x002CE9D8,0x094086D8,BoltGrabber,3,0x00121254; 0x0012125C; 0x00121264,0x0925AF54; 0x0925AF5C; 0x0925AF64,
LEVEL_01,1,Pokitaru,0x002CEA9C,0x0940879C,Bombglove,3,0x0012126C; 0x00121344; 0x001217F4,0x0925AF6C; 0x0925B044; 0x0925B4F4,
LEVEL_01,1,Pokitaru,0x002CEB00,0x09408800,BoxBreaker,3,0x00121D64; 0x00121D6C; 0x00121D74,0x0925BA64; 0x0925BA6C; 0x0925BA74,
