module_key,module_index,level,owner_rva,reference_site_rva,reference_site_runtime,target_rva,target_section,reference_kind,value,family_id
LEVEL_01,1,Pokitaru,0x00010B44,0x00010D0C,0x0914AA0C,0x002CA378,.data,float32,0 / 0x00000000,WF-015
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028ED8,0x09162BD8,0x002AFED4,.data,float32,0.0333333351 / 0x3D088889,WF-014
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028F0C,0x09162C0C,0x002AFECC,.data,float32,0.150000006 / 0x3E19999A,WF-014
LEVEL_01,1,Pokitaru,0x00028E9C,0x00028F20,0x09162C20,0x002AFED0,.data,float32,1 / 0x3F800000,WF-014
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BE6C,0x09165B6C,0x002AFF14,.data,float32,0.0333333351 / 0x3D088889,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002BEB0,0x09165BB0,0x002AFF18,.data,float32,1 / 0x3F800000,WF-017
LEVEL_01,1,Pokitaru,0x0002BE30,0x0002C1A0,0x09165EA0,0x002AFF0C,.data,float32,0.400000006 / 0x3ECCCCCD,WF-017
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A71C,0x0918441C,0x002B0918,.data,float32,0.100000001 / 0x3DCCCCCD,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004A8A8,0x091845A8,0x002B091C,.data,float32,1.5 / 0x3FC00000,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004AA7C,0x0918477C,0x002B00E8,.data,float32,0.0799999982 / 0x3DA3D70A,WF-001
LEVEL_01,1,Pokitaru,0x0004A4F0,0x0004AB80,0x09184880,0x002B08E8,.data,float32,-0.00300000003 / 0xBB449BA6,WF-001
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E110,0x09187E10,0x002B0984,.data,float32,30.000597 / 0x41F00139,WF-003
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E254,0x09187F54,0x002B0944,.data,float32,0.200000003 / 0x3E4CCCCD,WF-003
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E25C,0x09187F5C,0x002B0948,.data,float32,0.400000006 / 0x3ECCCCCD,WF-003
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E26C,0x09187F6C,0x002B094C,.data,float32,0.800000012 / 0x3F4CCCCD,WF-003
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E2B0,0x09187FB0,0x002B0950,.data,float32,0.100000001 / 0x3DCCCCCD,WF-003
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E2B8,0x09187FB8,0x002B0954,.data,float32,0.200000003 / 0x3E4CCCCD,WF-003
LEVEL_01,1,Pokitaru,0x0004E008,0x0004E2CC,0x09187FCC,0x002B0958,.data,float32,0.400000006 / 0x3ECCCCCD,WF-003
