owner_signature_sha256,module_key,module_index,level,owner_rva,owner_runtime,owner_call_ordinal,callsite_rva,callsite_runtime,mips_ra_runtime,wrapper_entry_runtime,wrapper_one_pass_runtime,file_offset,instruction_context,profiler_default_policy,family_id
0de1954f42fe210579d79a0be5f187d13dfc24a29256ecfea2cd306b3a6c1546,LEVEL_01,1,Pokitaru,0x0000E4F4,0x091481F4,1,0x0000E528,0x09148228,0x09148230,0x0914805C,0x09147F90,0x0000E59C," 0x09148220 C60D0000 lwc1 $f13, 0($s0) |  0x09148224 C60E0004 lwc1 $f14, 4($s0) | >0x09148228 0C0038D7 jal 0x0914805C |  0x0914822C C60F0008 lwc1 $f15, 8($s0) |  0x09148230 26640004 addiu $a0, $s3, 4 |  0x09148234 C62C0004 lwc1 $f12, 4($s1)",VANILLA,WF-005
0de1954f42fe210579d79a0be5f187d13dfc24a29256ecfea2cd306b3a6c1546,LEVEL_01,1,Pokitaru,0x0000E4F4,0x091481F4,2,0x0000E544,0x09148244,0x0914824C,0x0914805C,0x09147F90,0x0000E5B8," 0x0914823C C60D0000 lwc1 $f13, 0($s0) |  0x09148240 C60E0004 lwc1 $f14, 4($s0) | >0x09148244 0C0038D7 jal 0x0914805C |  0x09148248 C60F0008 lwc1 $f15, 8($s0) |  0x0914824C 26640008 addiu $a0, $s3, 8 |  0x09148250 C62C0008 lwc1 $f12, 8($s1)",VANILLA,WF-005
0de1954f42fe210579d79a0be5f187d13dfc24a29256ecfea2cd306b3a6c1546,LEVEL_01,1,Pokitaru,0x0000E4F4,0x091481F4,3,0x0000E560,0x09148260,0x09148268,0x0914805C,0x09147F90,0x0000E5D4," 0x09148258 C60D0000 lwc1 $f13, 0($s0) |  0x0914825C C60E0004 lwc1 $f14, 4($s0) | >0x09148260 0C0038D7 jal 0x0914805C |  0x09148264 C60F0008 lwc1 $f15, 8($s0) |  0x09148268 8FB00020 lw $s0, 32($sp) |  0x0914826C 8FB10024 lw $s1, 36($sp)",VANILLA,WF-005
79a53dd581d4d0841d3dba3fd01f10e49941c5aef283405a13b839bf117a9831,LEVEL_01,1,Pokitaru,0x0000E768,0x09148468,1,0x0000E7A4,0x091484A4,0x091484AC,0x0914805C,0x09147F90,0x0000E818," 0x0914849C C62D0000 lwc1 $f13, 0($s1) |  0x091484A0 C62E0004 lwc1 $f14, 4($s1) | >0x091484A4 0C0038D7 jal 0x0914805C |  0x091484A8 C62F0008 lwc1 $f15, 8($s1) |  0x091484AC 4480A000 .word 0x4480A000 |  0x091484B0 E6140024 swc1 $f20, 36($s0)",VANILLA,WF-013
79a53dd581d4d0841d3dba3fd01f10e49941c5aef283405a13b839bf117a9831,LEVEL_01,1,Pokitaru,0x0000E768,0x09148468,2,0x0000E7C8,0x091484C8,0x091484D0,0x0914805C,0x09147F90,0x0000E83C," 0x091484C0 C62E0004 lwc1 $f14, 4($s1) |  0x091484C4 C62F0008 lwc1 $f15, 8($s1) | >0x091484C8 0C0038D7 jal 0x0914805C |  0x091484CC 02602825 .word 0x02602825 |  0x091484D0 C60D0020 lwc1 $f13, 32($s0) |  0x091484D4 460D6B02 .word 0x460D6B02",VANILLA,WF-013
80d909ccea185b2b92de4eaeda906b378de28efe8a0015d6d7c6ef3382388145,LEVEL_01,1,Pokitaru,0x00010B44,0x0914A844,1,0x00010DE0,0x0914AAE0,0x0914AAE8,0x0914805C,0x09147F90,0x00010E54," 0x0914AAD8 02602025 .word 0x02602025 |  0x0914AADC 4600B306 .word 0x4600B306 | >0x0914AAE0 0C0038D7 jal 0x0914805C |  0x0914AAE4 02802825 .word 0x02802825 |  0x0914AAE8 26040010 addiu $a0, $s0, 16 |  0x0914AAEC C66C0000 lwc1 $f12, 0($s3)",VANILLA,WF-015
04dfbfd0e8658f0836f0e5363b70ea615481b1beeaceecab7571875f452a1101,LEVEL_01,1,Pokitaru,0x00028E9C,0x09162B9C,1,0x00028F88,0x09162C88,0x09162C90,0x0914805C,0x09147F90,0x00028FFC," 0x09162C80 C60E0004 lwc1 $f14, 4($s0) |  0x09162C84 C60F0008 lwc1 $f15, 8($s0) | >0x09162C88 0C0038D7 jal 0x0914805C |  0x09162C8C 46106300 .word 0x46106300 |  0x09162C90 10000008 beq $zero, $zero, 0x09162CB4 |  0x09162C94 00000000 nop",VANILLA,WF-014
04dfbfd0e8658f0836f0e5363b70ea615481b1beeaceecab7571875f452a1101,LEVEL_01,1,Pokitaru,0x00028E9C,0x09162B9C,2,0x00028FAC,0x09162CAC,0x09162CB4,0x0914805C,0x09147F90,0x00029020," 0x09162CA4 C60F0008 lwc1 $f15, 8($s0) |  0x09162CA8 02402025 .word 0x02402025 | >0x09162CAC 0C0038D7 jal 0x0914805C |  0x09162CB0 02202825 .word 0x02202825 |  0x09162CB4 10000008 beq $zero, $zero, 0x09162CD8 |  0x09162CB8 00000000 nop",VANILLA,WF-014
04dfbfd0e8658f0836f0e5363b70ea615481b1beeaceecab7571875f452a1101,LEVEL_01,1,Pokitaru,0x00028E9C,0x09162B9C,3,0x00028FD0,0x09162CD0,0x09162CD8,0x0914805C,0x09147F90,0x00029044," 0x09162CC8 C60F0008 lwc1 $f15, 8($s0) |  0x09162CCC 02402025 .word 0x02402025 | >0x09162CD0 0C0038D7 jal 0x0914805C |  0x09162CD4 02202825 .word 0x02202825 |  0x09162CD8 C7B40020 lwc1 $f20, 32($sp) |  0x09162CDC 8FB00024 lw $s0, 36($sp)",VANILLA,WF-014
35d0f36a26b74dad46db02b1ada278665ea20e7bd849ac85d72c8646adb2672f,LEVEL_01,1,Pokitaru,0x000295B4,0x091632B4,1,0x000295F0,0x091632F0,0x091632F8,0x0914805C,0x09147F90,0x00029664," 0x091632E8 26650020 addiu $a1, $s3, 32 |  0x091632EC AFBF0030 sw $ra, 48($sp) | >0x091632F0 0C0038D7 jal 0x0914805C |  0x091632F4 C4CF0008 lwc1 $f15, 8($a2) |  0x091632F8 C66C001C lwc1 $f12, 28($s3) |  0x091632FC 02602025 .word 0x02602025",VANILLA,WF-021
99ba6f21bd2768eaf20675803240b2d25011eaf50751c8660e6d6c0e7df0b24e,LEVEL_01,1,Pokitaru,0x0002BE30,0x09165B30,1,0x0002BF20,0x09165C20,0x09165C28,0x0914805C,0x09147F90,0x0002BF94," 0x09165C18 C60E0004 lwc1 $f14, 4($s0) |  0x09165C1C C60F0008 lwc1 $f15, 8($s0) | >0x09165C20 0C0038D7 jal 0x0914805C |  0x09165C24 46106300 .word 0x46106300 |  0x09165C28 10000008 beq $zero, $zero, 0x09165C4C |  0x09165C2C 00000000 nop",VANILLA,WF-017
99ba6f21bd2768eaf20675803240b2d25011eaf50751c8660e6d6c0e7df0b24e,LEVEL_01,1,Pokitaru,0x0002BE30,0x09165B30,2,0x0002BF44,0x09165C44,0x09165C4C,0x0914805C,0x09147F90,0x0002BFB8," 0x09165C3C 26440020 addiu $a0, $s2, 32 |  0x09165C40 26450024 addiu $a1, $s2, 36 | >0x09165C44 0C0038D7 jal 0x0914805C |  0x09165C48 C60F0008 lwc1 $f15, 8($s0) |  0x09165C4C 10000009 beq $zero, $zero, 0x09165C74 |  0x09165C50 C62C0020 lwc1 $f12, 32($s1)",VANILLA,WF-017
99ba6f21bd2768eaf20675803240b2d25011eaf50751c8660e6d6c0e7df0b24e,LEVEL_01,1,Pokitaru,0x0002BE30,0x09165B30,3,0x0002BF68,0x09165C68,0x09165C70,0x0914805C,0x09147F90,0x0002BFDC," 0x09165C60 26440020 addiu $a0, $s2, 32 |  0x09165C64 26450024 addiu $a1, $s2, 36 | >0x09165C68 0C0038D7 jal 0x0914805C |  0x09165C6C C60F0008 lwc1 $f15, 8($s0) |  0x09165C70 C62C0020 lwc1 $f12, 32($s1) |  0x09165C74 C62D0024 lwc1 $f13, 36($s1)",VANILLA,WF-017
24a2ff0a1557a72e167a4c96b6f9c801d44d4cba5af921ba5669a4084a8edf49,LEVEL_01,1,Pokitaru,0x0004A158,0x09183E58,1,0x0004A3B8,0x091840B8,0x091840C0,0x0914805C,0x09147F90,0x0004A42C," 0x091840B0 26040248 addiu $a0, $s0, 584 |  0x091840B4 26050250 addiu $a1, $s0, 592 | >0x091840B8 0C0038D7 jal 0x0914805C |  0x091840BC C60F025C lwc1 $f15, 604($s0) |  0x091840C0 C60D0248 lwc1 $f13, 584($s0) |  0x091840C4 E7B60048 swc1 $f22, 72($sp)",VANILLA,WF-002
2f3e3c8d94815007925ad67e5ba4c86300ecf57cf262105869a43d99ee6ad1fb,LEVEL_01,1,Pokitaru,0x0004A4F0,0x091841F0,1,0x0004AA94,0x09184794,0x0918479C,0x0914805C,0x09147F90,0x0004AB08," 0x0918478C 26040230 addiu $a0, $s0, 560 |  0x09184790 26050238 addiu $a1, $s0, 568 | >0x09184794 0C0038D7 jal 0x0914805C |  0x09184798 C60F0244 lwc1 $f15, 580($s0) |  0x0918479C 1000000C beq $zero, $zero, 0x091847D0 |  0x091847A0 00000000 nop",VANILLA,WF-001
2f3e3c8d94815007925ad67e5ba4c86300ecf57cf262105869a43d99ee6ad1fb,LEVEL_01,1,Pokitaru,0x0004A4F0,0x091841F0,2,0x0004AAC8,0x091847C8,0x091847D0,0x0914805C,0x09147F90,0x0004AB3C," 0x091847C0 26050238 addiu $a1, $s0, 568 |  0x091847C4 C60E0240 lwc1 $f14, 576($s0) | >0x091847C8 0C0038D7 jal 0x0914805C |  0x091847CC C60F0244 lwc1 $f15, 580($s0) |  0x091847D0 C60C0230 lwc1 $f12, 560($s0) |  0x091847D4 260501F4 addiu $a1, $s0, 500",VANILLA,WF-001
2f3e3c8d94815007925ad67e5ba4c86300ecf57cf262105869a43d99ee6ad1fb,LEVEL_01,1,Pokitaru,0x0004A4F0,0x091841F0,3,0x0004AC44,0x09184944,0x0918494C,0x0914805C,0x09147F90,0x0004ACB8," 0x0918493C 26050238 addiu $a1, $s0, 568 |  0x09184940 C60E0240 lwc1 $f14, 576($s0) | >0x09184944 0C0038D7 jal 0x0914805C |  0x09184948 C60F0244 lwc1 $f15, 580($s0) |  0x0918494C C60C0230 lwc1 $f12, 560($s0) |  0x09184950 260501F4 addiu $a1, $s0, 500",VANILLA,WF-001
a0c9f2348b17b34ae20cd986946e9986592765755ff8bc44e8d82a6df56c3b27,LEVEL_01,1,Pokitaru,0x0004E008,0x09187D08,1,0x0004E8E4,0x091885E4,0x091885EC,0x0914805C,0x09147F90,0x0004E958," 0x091885DC 26040230 addiu $a0, $s0, 560 |  0x091885E0 26050238 addiu $a1, $s0, 568 | >0x091885E4 0C0038D7 jal 0x0914805C |  0x091885E8 C60F0244 lwc1 $f15, 580($s0) |  0x091885EC C60C0230 lwc1 $f12, 560($s0) |  0x091885F0 26050204 addiu $a1, $s0, 516",VANILLA,WF-003
