class_name,prx_count,max_priority,classifications,prxs,update_addresses
MushroomCloud,5,130,FRAME_BASED_HIGH:5,LEVEL_03.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x092A7060;0x09277F5C;0x09277064;0x09282E58;0x0927A18C
CrossbowGun,16,125,FRAME_BASED_HIGH:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x09264F54;0x09278284;0x0926045C;0x0926896C;0x0925AC00;0x09257728;0x09262660;0x092727A4;0x09258BD4;0x0925EDAC;0x0925B4F0;0x092530D4;0x09261020;0x0925EF14;0x0925FD94;0x092605D4
AgentsGlove,12,120,FRAME_BASED_HIGH:12,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09249A58;0x0924F3C8;0x092483E0;0x09251188;0x09245F20;0x0924179C;0x0924BCEC;0x092560F4;0x09243744;0x09247CB4;0x0923D6C4;0x0923FFB0
ElectroSoldierShot,2,120,FRAME_BASED_HIGH:2,LEVEL_07.PRX;LEVEL_09.PRX,0x092758C4;0x09263858
LunaBossBomb,1,120,FRAME_BASED_HIGH:1,LEVEL_08.PRX,0x092AED04
Meteor,1,120,FRAME_BASED_HIGH:1,LEVEL_16.PRX,0x09275438
BlitzGun,16,117,FRAME_BASED_HIGH:12;FRAME_MOVEMENT_SUSPECT:4,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_23.PRX;LEVEL_24.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX,0x092542B0;0x0925A144;0x09253ED0;0x0925BCE4;0x09250800;0x0924BFF4;0x09256834;0x092619FC;0x0924DF9C;0x09252BDC;0x09257518;0x0924B13C;0x09257ADC;0x09255A44;0x09257E64;0x092588A0
BlasterShot,17,115,FRAME_BASED_HIGH:17,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09251E30;0x09257CC4;0x09251A50;0x09259864;0x0924E380;0x09249B74;0x092543B4;0x0925F57C;0x0924BB1C;0x0925075C;0x09255B10;0x09253A78;0x09255E98;0x092568D4;0x092312DC;0x09255098;0x09248CBC
CrossbowShot,16,115,FRAME_BASED_HIGH:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09266AEC;0x09279E1C;0x09261FF4;0x0926A504;0x0925C798;0x092592C0;0x092641F8;0x0927433C;0x0925A76C;0x09260944;0x09262C1C;0x09260B10;0x09261990;0x092621D0;0x0925D088;0x09254C6C
ExplosiveBee,16,115,FRAME_BASED_HIGH:16,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_16.PRX;LEVEL_17.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09272EB0;0x09287108;0x0926FD48;0x0927C714;0x09268EC4;0x092644A8;0x0927C3A4;0x09289244;0x09268394;0x09270F44;0x0926C7D4;0x092672F0;0x0926BA70;0x09268B7C;0x09263BB0;0x0925B990
