prx,system,patch,runtime_address,file_offset,detected_original,expected_original,patched_word,original_match,status,address_derivation
LEVEL_01.PRX,Lacerator,Projectile age +1->+0.5,0x09251E44,0x1181B8,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_02_clean.PRX,Lacerator,Projectile age +1->+0.5,0x09257CD8,0x11E04C,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_03.PRX,Lacerator,Projectile age +1->+0.5,0x09251A64,0x117DD8,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_04.PRX,Lacerator,Projectile age +1->+0.5,0x09259878,0x11FBEC,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_05.PRX,Lacerator,Projectile age +1->+0.5,0x0924E394,0x114708,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_06.PRX,Lacerator,Projectile age +1->+0.5,0x09249B88,0x10FEFC,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_07.PRX,Lacerator,Projectile age +1->+0.5,0x092543C8,0x11A73C,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_08.PRX,Lacerator,Projectile age +1->+0.5,0x0925F590,0x125904,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_09.PRX,Lacerator,Projectile age +1->+0.5,0x0924BB30,0x111EA4,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_10.PRX,Lacerator,Projectile age +1->+0.5,0x09250770,0x116AE4,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_16.PRX,Lacerator,Projectile age +1->+0.5,0x09255B24,0x11BE98,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_17.PRX,Lacerator,Projectile age +1->+0.5,0x09253A8C,0x119E00,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_18.PRX,Lacerator,Projectile age +1->+0.5,0x09255EAC,0x11C220,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_19.PRX,Lacerator,Projectile age +1->+0.5,0x092568E8,0x11CC5C,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_22.PRX,Lacerator,Projectile age +1->+0.5,0x092312F0,0xF7664,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_23.PRX,Lacerator,Projectile age +1->+0.5,0x092550AC,0x11B420,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_24.PRX,Lacerator,Projectile age +1->+0.5,0x09248CD0,0x10F044,0x3C053F80,0x3C053F80,0x3C053F00,True,validated on LEVEL_01; signature identical,BlasterShot Update + 0x14
LEVEL_01.PRX,Lacerator,Projectile speed divisor 30->60,0x09251870,0x117BE4,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_02_clean.PRX,Lacerator,Projectile speed divisor 30->60,0x09257704,0x11DA78,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_03.PRX,Lacerator,Projectile speed divisor 30->60,0x09251490,0x117804,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_04.PRX,Lacerator,Projectile speed divisor 30->60,0x092592A4,0x11F618,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_05.PRX,Lacerator,Projectile speed divisor 30->60,0x0924DDC0,0x114134,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_06.PRX,Lacerator,Projectile speed divisor 30->60,0x092495B4,0x10F928,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_07.PRX,Lacerator,Projectile speed divisor 30->60,0x09253DF4,0x11A168,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
LEVEL_08.PRX,Lacerator,Projectile speed divisor 30->60,0x0925EFBC,0x125330,0x3C0641F0,0x3C0641F0,0x3C064270,True,validated on LEVEL_01; signature identical,BlasterShot init - 0x1F4
